Method,Controller,ActionName,QueryString,Anonymous,Authorize
GET,api/Analyzer,Session,,NO,YES
GET,api/Analyzer,Version,,YES,YES
GET,api/Analyzer,Measurement,,NO,YES
GET,api/Analyzer,SignatureVerificationKey,,YES,YES
GET,api/Analyzer,GPS,,NO,YES
GET,api/Analyzer,Anemometer,,NO,YES
GET,api/Analyzer,Alarm,,NO,YES
GET,api/Analyzer,SurveyCurtain,?surveyId=${analyzer_picarro_surveyID},NO,YES
GET,api/Analyzer,AnalyzerConfiguration,,NO,YES
GET,api/Analyzer,SurveyHistory,?tag=${analyzer_picarro_surveyTag},NO,YES
