Method,Controller,ActionName,BodyData,Anonymous,Authorize
POST,api/Analyzer,Installer,analyzer/analyzerLogin.json,YES,YES
POST,api/Analyzer,VerifySignature,analyzer/signaturePayload.json,YES,YES
POST,api/Analyzer,GPS,analyzer/gpsRows.json,NO,YES
POST,api/Analyzer,Anemometer,analyzer/anemometerRows.json,NO,YES
POST,api/Analyzer,Measurement,analyzer/measurements.json,NO,YES
POST,api/Analyzer,HeartBeat,analyzer/analyzerHeartbeat.json,NO,YES
POST,api/Analyzer,HeartBeatV2,analyzer/analyzerHeartbeat.json,NO,YES
POST,api/Analyzer,Alarm,analyzer/alarms.json,NO,YES
POST,api/Analyzer,Note,analyzer/notes.json,NO,YES
POST,api/Analyzer,Session,analyzer/session.json,NO,YES
POST,api/Analyzer,Error,analyzer/analyzerError.json,YES,YES
