Folder,FileName,Permission
Views/,Web.config,NO
Views/,_ViewStart.cshtml,NO
Views/Account/,Login.cshtml,NO
Views/Admin/,ManageUser.cshtml,NO
Views/Common,_Map.cshtml,NO
Views/Detect/,Index.cshhtml,NO
Views/Error/,Index.cshtml,NO
Views/Eula/,Index.cshtml,NO
Views/GisMaintenance/,Index.cshtml,NO
Views/Home/,Index.cshtml,NO
Views/Investigation/,Reports.cshtml,NO
Views/Live/,Survey.cshtml,NO
Views/Picarro/,ManageUser.cshtml,NO
Views/Replay/,Index.cshtml,NO
Views/Reports/,EQReport.cshtml,NO
Views/Shared/,_Layoutcshtml,NO
Utilities/,IdentittyHelper.cs,NO
Scripts/,ManageUser.js,YES
Models/,AnalyzerModel.cs,NO
Installers/Analyzer/,Install.7z,NO
Hubs/,SurveyHub.cs,NO
Fonts/,FontAwesome.otf,YES
Filters/,AccessFilter.cs,NO
Extensions/,AnalyzerExtensions.cs,NO
Controllers/,AccountController.cs,NO
Content/,eula.css,YES
Constants/,Enums.cs,NO
Clients/,SsrsClient.cs,NO
Attriutes/,CompressAttribute.cs,NO
App_Start/,Startup.DI.cs,NO
Api/,GisController.cs,NO
,Global.asax,NO
,JSLintNet.json,NO
,log4net.xml,NO
,packages.config,NO
,Startup.cs,NO
,Web.config,NO
