Controller,ActionName,QueryString,Description,PicarroDriver,CustomerDriver,CustomerSupervisor,CustomerAdmin,PicarroSupervisor,PicarroAdmin,Support,Admin,
Account,Preferences,,,YES,YES,YES,YES,YES,YES,YES,YES,
Account,ChangePassword,,,YES,YES,YES,YES,YES,YES,YES,YES,
Picarro,ResetPassword,?id=${Driver_Picarro},user: sqapicdr@picarro.com,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,LaunchCalibration,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,Calibration,?Address=https%3A%2F%2Fsurveyorprivate.picarro.com&Port=5600,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageCalibrationRecord,?surveyorUnitid=${APISecurityTest_Surveyor001},,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageSurveyors,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageSurveyorsData,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageSurveyor,?id=${APISecurityTest_Surveyor001},SimAuto-Surveyor1 - Picarro,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageCustomers,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageCustomersData,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageCustomer,?id=${Customer_Picarro},,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ValidateCustomer,?name=${Customer_Picarro},,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageSurveyorHistories,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageSurveyorHistoriesData,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageUsers,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageUser,?id=${Driver_Picarro}&picarro=true ,user: sqapicdr@picarro.com,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageUsersData,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ValidateUser,?userId=${DriverName_Picarro},,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageRefGasBottles,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageRefGasBottlesData,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,AddRefGasBottle,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageLocations,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageLocation,?id=${Location_Picarro},Picarro Default,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageLocationsData,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,AnalyzerLogs,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,AnalyzerLogsData,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,AnalyzerAlarmLog,?analyzerId=${Analyzer_Picarro},,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,AnalyzerAlarmLogData,?analyzerId=${Analyzer_Picarro}&sEcho=1&iColumns=2&sColumns=%2C&iDisplayStart=0&iDisplayLength=10&mDataProp_0=MessageDate&sSearch_0=&bRegex_0=false&bSearchable_0=true&mDataProp_1=Message&sSearch_1=&bRegex_1=false&bSearchable_1=true&sSearch=&bRegex=false&_=1460144059353,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,AnalyzerLog,?analyzerId=${Analyzer_Picarro},,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,AnalyzerLogData,?analyzerId=${Analyzer_Picarro}&sEcho=1&iColumns=3&sColumns=%2C%2C&iDisplayStart=0&iDisplayLength=10&mDataProp_0=Id&sSearch_0=&bRegex_0=false&bSearchable_0=true&mDataProp_1=Message&sSearch_1=&bRegex_1=false&bSearchable_1=true&mDataProp_2=MessageDate&sSearch_2=&bRegex_2=false&bSearchable_2=true&sSearch=&bRegex=false&_=1460144065236,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ServerLog,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ServerLogData,?sEcho=1&iColumns=6&sColumns=%2C%2C%2C%2C%2C&iDisplayStart=0&iDisplayLength=10&mDataProp_0=Id&sSearch_0=&bRegex_0=false&bSearchable_0=true&bSortable_0=true&mDataProp_1=Thread&sSearch_1=&bRegex_1=false&bSearchable_1=true&bSortable_1=true&mDataProp_2=Level&sSearch_2=&bRegex_2=false&bSearchable_2=true&bSortable_2=true&mDataProp_3=Message&sSearch_3=&bRegex_3=false&bSearchable_3=true&bSortable_3=true&mDataProp_4=Exception&sSearch_4=&bRegex_4=false&bSearchable_4=true&bSortable_4=false&mDataProp_5=MessageDate&sSearch_5=&bRegex_5=false&bSearchab,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageAnalyzers,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageAnalyzersData,,,NO,NO,NO,NO,NO,NO,YES,YES,
Picarro,ManageAnalyzer,/${Analyzer_Picarro_SerialNumber001},,NO,NO,NO,NO,NO,NO,YES,YES,
Live,Cesium,,,YES,YES,YES,YES,YES,YES,YES,YES,
Live,Survey,/${APISecurityTest_Survey001},sqapicdr@picarro.com: SimAuto-Surveyor3,YES,NO,NO,NO,YES,YES,YES,YES,
