AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789251.596,-1.22,-1.08,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789252.598,-2.04,-0.62,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789253.593,-1.89,-0.57,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789254.601,-0.7,2.07,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789255.595,-1.28,0.78,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789256.602,-2.98,1.44,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789257.594,-0.55,0.52,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789258.6,-0.08,0.9,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789259.595,-0.21,0.06,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789260.602,-0.6,-1.19,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789261.6,-0.99,-0.81,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789262.603,-2.06,-0.39,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789263.604,-1.32,-2,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789264.605,-2.17,-0.83,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789265.603,-3.97,-0.21,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789266.608,-3.12,0.71,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789267.603,-1.69,1.59,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789268.609,0.08,0.48,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789269.603,-1.53,-0.21,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789270.605,-2,0.28,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789271.603,-2.63,2.11,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789272.61,-1.42,2.46,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789273.608,0.6,2.72,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789274.606,1.8,2.7,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789275.608,1.39,2.5,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789276.607,0.88,2.51,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789277.61,-1.33,2.96,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789278.612,-0.36,3.04,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789279.61,1.54,3.69,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789280.608,1.08,3.68,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789281.613,2.48,2.86,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789282.609,1.74,3.64,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789283.614,2.81,2.27,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789284.617,2.96,2.34,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789285.608,3.34,3.43,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789286.617,1.63,4.05,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789287.614,2.87,5.64,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789288.618,2.11,6.39,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789289.614,0.91,6.83,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789290.616,1.78,6.73,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789291.616,3.97,7.45,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789292.61,2.87,6.03,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789293.619,2.96,4.53,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789294.619,3.15,2.61,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789295.613,3.27,2.13,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789296.613,4.39,2.26,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789297.614,2.96,3.19,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789298.62,1.97,7.08,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789299.617,-0.78,8.47,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789300.617,-2.64,8.89,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789301.614,-1.3,10.86,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789302.624,-2.11,12.42,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789303.617,-1.38,15.6,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789304.624,-1.9,17.68,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789305.617,-2.71,17.1,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789306.627,-4.33,17.96,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789307.622,-4.69,17.21,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789308.623,-2.66,14.37,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789309.622,-1.23,13.61,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789310.625,-1.66,15.69,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789311.627,-1.8,16.31,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789312.624,-1.82,19.75,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789313.622,-1.66,21.15,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789314.63,-2.36,20.17,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789315.622,-0.72,18.94,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789316.622,-1.54,18.74,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789317.624,-2.84,18.24,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789318.632,-1.72,19.4,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789319.628,-2.85,18.42,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789320.631,-1.44,18.27,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789321.628,-2.96,18.67,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789322.627,-1.52,17.21,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789323.634,-2.08,17.55,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789324.632,-3.25,16.72,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789325.627,-3.91,17.24,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789326.635,-2.85,16.13,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789327.629,-0.7,16.68,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789328.629,-3.67,16.63,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789329.633,-2,18.42,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789330.635,0.39,18.24,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789331.633,-1.29,17.16,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789332.637,-1.79,17.55,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789333.63,-1.61,19.52,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789334.631,-2.63,20.72,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789335.641,-4.99,17.34,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789336.635,-3.25,16.85,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789337.638,-1.26,18.18,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789338.632,-1.94,18.93,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789339.639,-3.07,18.53,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789340.638,-3.56,17.37,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789341.643,-3.4,18.18,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789342.639,-3.78,17.54,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789343.642,-3.19,18.77,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789344.637,-2.15,18.1,0,0
26F7026D-788B-0413-0D89-39D76AFCAAFE,1461789345.638,-1.62,18.65,0,0
