AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722319.078,1.36,0.03,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722319.325,1.33,0.01,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722319.573,1.31,0.03,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722319.824,1.39,-0.14,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722320.073,1.35,-0.32,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722320.323,1.29,0.02,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722320.575,1.19,0.02,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722320.83,1.3,-0.09,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722321.074,1.2,-0.02,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722321.326,1.12,0.15,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722321.571,1.11,0.13,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722321.821,1.07,0.08,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722322.077,1.05,0.24,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722322.329,1.11,0.41,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722322.575,1.06,0.56,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722322.829,1.05,0.36,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722323.076,1.19,0.34,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722323.33,1.47,0.46,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722323.575,1.43,0.54,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722323.823,1.35,0.77,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722324.078,1.22,0.54,0,0
3BB5D6C4-17D0-4088-A616-11CE03DD3274,1480722324.329,1.29,0.39,0,0
