AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390639.817,1.48,-0.48,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390640.066,1.75,-0.78,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390640.322,2.2,-0.69,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390640.571,2.07,-0.11,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390640.817,2.17,-0.42,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390641.067,2,-0.62,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390641.315,2.13,-0.64,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390641.57,2.44,-0.5,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390641.823,1.87,-0.83,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390642.071,1.52,-0.78,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390642.319,1.46,-0.57,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390642.565,1.46,-0.63,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390642.823,1.56,-0.57,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390643.073,1.8,-0.08,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390643.321,1.61,-0.24,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390643.563,1.8,-0.06,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390643.82,1.94,0.03,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390644.07,1.92,-0.05,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390644.316,1.77,-0.28,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390644.569,1.88,0.12,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390644.816,1.9,-0.25,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390645.073,1.68,0.19,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390645.317,1.76,0.36,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390645.565,1.68,0.29,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390645.82,1.69,0.15,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390646.069,1.59,0.18,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390646.318,1.67,0.49,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390646.573,1.61,0.46,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390646.816,1.65,0.58,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390647.074,1.55,0.43,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390647.32,1.56,0.4,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390647.571,1.52,0.48,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390647.817,1.06,0.75,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390648.074,1.3,0.63,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390648.325,1.18,0.42,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390648.569,1.05,0.57,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390648.822,1.22,1.1,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390649.071,1.51,0.85,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390649.319,0.82,0.66,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390649.567,0.99,0.62,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390649.827,1.4,0.64,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390650.072,1.01,0.75,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390650.316,1.02,0.73,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390650.575,0.84,0.7,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390650.817,1.01,0.63,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390651.068,1.18,0.56,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390651.323,0.89,0.42,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390651.574,0.64,0.26,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390651.823,0.59,-0.09,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390652.07,0.71,-0.56,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390652.327,1.24,-0.68,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390652.57,1.2,-0.83,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390652.817,1.33,-0.74,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390653.073,1.17,-0.8,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390653.324,1.53,-0.91,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390653.569,1.35,-0.95,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390653.826,1.04,-0.85,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390654.073,1.24,-0.7,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390654.32,1.55,-0.48,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390654.577,1.77,-0.81,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390654.822,1.98,-0.92,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390655.077,1.96,-1,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390655.32,1.89,-0.78,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390655.574,1.75,-0.62,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390655.825,1.81,-0.67,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390656.071,1.67,-1.03,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390656.32,1.5,-1.06,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390656.571,1.61,-0.81,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390656.829,1.52,-0.65,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390657.078,1.31,-0.6,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390657.329,1.28,-0.41,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390657.57,1.32,-0.23,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390657.827,1.36,-0.37,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390658.075,1.37,-0.34,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390658.329,1.4,-0.49,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390658.572,1.18,-0.51,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390658.829,1.17,-0.31,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390659.075,1.16,-0.2,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390659.329,1.11,0.08,0,0
D2CCC285-2BD3-5D22-667E-39D823D4D255,1473390659.575,1.12,0.08,0,0
