AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453342.805,0.42,0.47,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453343.053,0.42,0.58,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453343.3,0.28,0.65,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453343.547,0.24,0.52,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453343.799,0.27,0.31,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453344.049,0.14,0.14,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453344.3,0.07,0.18,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453344.548,0.09,0.2,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453344.801,0.07,0.21,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453345.051,0.01,0.21,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453345.298,0.08,0.21,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453345.548,0.21,0.18,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453345.801,0.3,0.17,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453346.05,0.29,0.14,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453346.301,0.32,0.1,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453346.555,0.28,0.07,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453346.807,0.24,0.11,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453347.051,0.25,0.16,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453347.305,0.28,0.18,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453347.551,0.28,0.23,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453347.805,0.39,0.26,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453348.054,0.57,0.27,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453348.301,0.32,0.29,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453348.555,0.26,0.45,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453348.8,0.39,0.48,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453349.052,0.63,0.28,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453349.302,0.4,0.23,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453349.559,0.38,0.19,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453349.805,0.38,0.11,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453350.059,0.33,0.18,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453350.3,0.32,0.14,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453350.549,0.29,0.15,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453350.806,0.35,0.12,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453351.059,0.36,0.27,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453351.307,0.51,0.28,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453351.552,0.39,0.36,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453351.81,0.47,0.29,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453352.053,0.42,0.29,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453352.303,0.3,0.46,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453352.55,0.2,0.43,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453352.807,0.21,0.32,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453353.052,0.17,0.25,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453353.303,0.19,0.15,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453353.552,0.24,0.08,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453353.807,0.22,0.04,0,0
3029dbb8-f824-491d-8d90-6cbd92cfdf8f,1479453354.058,0.21,0.06,0,0
