AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842682.745,-0.23,1.42,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842682.993,-0.62,1.59,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842683.241,0.26,1.4,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842683.5,0.45,1.28,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842683.746,1.08,1.24,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842683.994,0.5,1.25,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842684.245,0.14,1.46,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842684.5,0.41,1.62,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842684.746,1.04,1.49,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842684.994,1.27,1.47,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842685.242,1.48,1.7,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842685.499,1.41,1.32,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842685.748,0.27,0.57,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842685.996,0.48,0.12,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842686.243,0.82,0.23,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842686.494,0.53,0.1,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842686.746,0.74,0.37,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842687.003,0.78,0.01,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842687.246,0.97,-0.06,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842687.494,0.59,0.38,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842687.751,0.4,0.85,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842687.997,0.29,1.01,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842688.249,0.29,1.08,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842688.496,0.24,1.01,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842688.753,-0.28,0.85,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842689,-0.7,0.8,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842689.248,-0.94,0.71,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842689.504,-0.9,0.74,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842689.746,-0.79,0.58,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842689.994,-0.48,0.58,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842690.246,-0.69,0.7,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842690.495,-0.35,0.83,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842690.75,-0.25,0.97,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842691,-0.66,0.89,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842691.245,-0.79,0.68,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842691.5,-0.61,0.9,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842691.748,-0.56,1.34,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842692.004,-0.34,1.25,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842692.254,-0.21,0.98,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842692.497,-0.43,0.64,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842692.755,-0.24,0.48,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842693.003,-0.31,0.5,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842693.252,-0.69,0.33,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842693.497,-1.29,-0.04,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842693.751,-1.15,-0.25,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842694.004,-0.96,-0.16,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842694.252,-0.81,-0.36,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842694.505,-0.64,0,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842694.747,-0.5,0.01,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842694.998,-0.4,0.11,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842695.247,-0.58,0.18,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842695.507,-0.66,0.24,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842695.757,-0.72,0.24,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842696.001,-0.72,0.27,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842696.251,-0.49,0.03,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842696.502,-0.49,0.47,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842696.757,-0.57,0.5,0,0
d2ccc285-2bd3-5d22-667e-39d823d4d255,1472842697.007,-0.31,0.44,0,0
