AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493205.323,0.33,0.26,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493205.573,0.32,0.29,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493205.821,0.33,0.21,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493206.076,0.4,0.15,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493206.322,0.42,0.09,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493206.578,0.54,0.2,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493206.824,0.61,0.27,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493207.073,0.67,0.1,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493207.319,0.65,0.06,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493207.572,0.56,0.08,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493207.827,0.59,0.06,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493208.073,0.64,0.14,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493208.329,0.59,0.31,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493208.572,0.62,0.26,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493208.82,0.71,0.23,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493209.079,0.61,0.2,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493209.323,0.61,0.26,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493209.581,0.59,0.33,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493209.827,0.56,0.36,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493210.071,0.6,0.37,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493210.327,0.5,0.39,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493210.572,0.51,0.37,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493210.831,0.58,0.31,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493211.077,0.54,0.29,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493211.327,0.43,0.28,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493211.578,0.5,0.14,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493211.822,0.49,0.17,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493212.079,0.53,0.19,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493212.324,0.61,0.19,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493212.577,0.57,0.21,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493212.822,0.52,0.2,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493213.074,0.5,0.12,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493213.329,0.58,0.22,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493213.58,0.57,0.23,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493213.829,0.54,0.15,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493214.075,0.53,0.21,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493214.324,0.52,0.18,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493214.575,0.55,0.11,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493214.825,0.58,0.21,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493215.081,0.5,0.14,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493215.328,0.48,0.14,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493215.582,0.43,0.16,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493215.826,0.41,0.03,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493216.081,0.37,-0.11,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486493216.325,0.37,-0.09,0,0
