AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495165.488,-1.97,-0.07,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495165.744,-1.89,1.28,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495165.992,-1.56,1.2,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495166.238,-0.83,1.41,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495166.492,-0.11,1.35,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495166.738,-0.53,1.24,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495166.989,-0.76,0.92,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495167.235,-0.68,0.94,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495167.492,-0.47,1.15,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495167.74,-0.63,1.28,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495167.994,-0.43,1.33,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495168.241,-0.48,1.13,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495168.494,-0.61,1.03,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495168.738,-0.51,0.99,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495168.986,-0.53,0.67,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495169.244,-0.75,0.3,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495169.489,-0.9,0.36,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495169.736,-0.84,0.54,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495169.994,-0.73,0.66,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495170.244,-0.62,0.97,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495170.491,-0.38,1.36,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495170.742,-0.41,1.18,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495170.995,-0.29,1.19,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495171.241,-0.26,1.24,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495171.487,-0.13,1.25,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495171.737,-0.31,1.16,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495171.992,-0.22,1.1,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495172.243,-0.22,1.09,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495172.489,-0.21,1.1,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495172.747,-0.18,1.05,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495172.994,-0.07,1.07,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495173.24,0.02,1.11,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495173.495,0,1.19,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495173.742,0,1.18,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495173.99,-0.03,1.2,0,0
f5970731-ce37-f7f3-db5f-39d7e2d02053,1486495174.24,-0.24,1.14,0,0
