AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498358.979,0.93,1.21,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498359.229,0.96,1.25,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498359.476,0.99,1.28,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498359.73,0.93,1.41,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498359.98,0.94,1.38,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498360.229,0.89,1.37,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498360.476,0.77,1.43,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498360.724,0.8,1.41,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498360.984,0.69,1.46,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498361.229,0.56,1.55,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498361.478,0.12,1.48,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498361.726,-0.1,1.42,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498361.975,-0.07,1.36,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498362.227,-0.01,1.14,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498362.482,-0.05,1.08,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498362.729,-0.04,1.12,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498362.986,-0.01,1.11,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498363.229,-0.05,1.08,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498363.476,-0.13,1.08,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498363.726,-0.09,1.05,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498363.976,0,1.06,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498364.234,-0.02,1.07,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498364.478,-0.16,1.07,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498364.735,-0.1,1.03,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498364.982,-0.16,1.01,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498365.236,-0.27,0.97,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498365.484,-0.23,0.97,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498365.728,-0.04,1.02,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498365.987,0.07,1.12,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486498366.232,-0.21,1.03,0,0
