AnalyzerId,EpochTime,WindSpeedLateral,WindSpeedLongitudinal,Status,Index
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500715.261,-1.41,-0.16,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500715.506,-1.32,-0.33,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500715.756,-1.26,-0.27,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500716.013,-1.26,-0.19,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500716.266,-1.24,-0.35,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500716.507,-1.22,-0.27,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500716.761,-1.17,-0.26,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500717.011,-1.22,-0.02,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500717.258,-1.12,0.22,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500717.509,-1.03,0.21,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500717.758,-0.99,0.1,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500718.007,-0.86,-0.06,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500718.263,-0.74,-0.01,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500718.509,-0.67,-0.02,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500718.757,-0.6,-0.07,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500719.015,-0.55,-0.08,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500719.259,-0.55,-0.09,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500719.514,-0.54,0.01,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500719.76,-0.53,-0.22,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500720.009,-0.59,-0.27,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500720.259,-0.6,-0.36,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500720.517,-0.91,-0.12,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500720.764,-1.04,-0.13,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500721.012,-0.99,-0.11,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500721.267,-0.87,0.21,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500721.518,-0.6,0.35,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500721.763,-0.56,0.35,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500722.017,-0.59,0.4,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500722.263,-0.63,0.47,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500722.508,-0.66,0.57,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500722.759,-0.92,0.67,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500723.018,-1.08,0.56,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500723.262,-0.99,0.55,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500723.518,-1.08,0.42,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500723.763,-1.13,0.45,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500724.013,-1.2,0.52,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500724.259,-1.13,0.51,0,0
00000015-DB64-FDE7-7E67-39C8AC533D51,1486500724.517,-1.08,0.53,0,0
