SurveyId,Order,Mode,Shape
2736B102-C584-4DF9-B128-4A28FE77A064,0,0,0xE61000000104030000000B5F2DD4B37E5EC0F802E6A6BAB542401C39E7D2B27E5EC03572594EB9B542404AF19B52B57E5EC06D09CFDBB6B5424001000000010000000001000000FFFFFFFF0000000002
2736B102-C584-4DF9-B128-4A28FE77A064,1,0,0xE6100000010403000000FE388993A57E5EC099F89C6092B54240EDE496EC9F7E5EC020519D4486B5424033F61BD39E7E5EC007DE6E5882B5424001000000010000000001000000FFFFFFFF0000000002
2736B102-C584-4DF9-B128-4A28FE77A064,2,0,0xE61000000114DCB4076CB37E5EC0F4498230BBB54240F4C34D6CB37E5EC0868CDB31BBB54240
2736B102-C584-4DF9-B128-4A28FE77A064,3,0,0xE61000000114B2B05B6DB37E5EC049DB452CBBB54240C9E2BD6DB37E5EC00B08492BBBB54240
2736B102-C584-4DF9-B128-4A28FE77A064,4,0,0xE61000000114F6324D6EB37E5EC060FCE037BBB54240AB7E4072B27E5EC003EAA54DBAB54240
2736B102-C584-4DF9-B128-4A28FE77A064,5,3,0xE61000000104030000004AF19B52B57E5EC06D09CFDBB6B54240E14D3CA8B57E5EC0BEC66BE0B3B542407BE8964DB47E5EC0705149D0B0B5424001000000010000000001000000FFFFFFFF0000000002
2736B102-C584-4DF9-B128-4A28FE77A064,6,3,0xE610000001040400000033F61BD39E7E5EC007DE6E5882B54240659531E59D7E5EC0E65757DA81B542405E1653679D7E5EC0C34CEC6E83B542402D31E872A47E5EC0ADB0F86A91B5424001000000010000000001000000FFFFFFFF0000000002
2736B102-C584-4DF9-B128-4A28FE77A064,7,1,0xE610000001147BE8964DB47E5EC0705149D0B0B54240EC6765FEB17E5EC0B779C42BACB54240
2736B102-C584-4DF9-B128-4A28FE77A064,8,1,0xE61000000104050000002D31E872A47E5EC0ADB0F86A91B5424020732D80B47E5EC0958B2001B3B542401DD503FBB47E5EC06D9B76C4B5B542406437CE0CB37E5EC04140C085B9B54240DCB4076CB37E5EC0F4498230BBB5424001000000010000000001000000FFFFFFFF0000000002
2736B102-C584-4DF9-B128-4A28FE77A064,9,1,0xE61000000114C6242C6DB37E5EC03FE6F22CBBB54240FDE1AE6CB37E5EC0BAE4C92DBBB54240
2736B102-C584-4DF9-B128-4A28FE77A064,10,1,0xE610000001145BB67C6FB37E5EC09E9AF92CBBB54240F6324D6EB37E5EC060FCE037BBB54240
2736B102-C584-4DF9-B128-4A28FE77A064,11,4,0xE61000000114EC6765FEB17E5EC0B779C42BACB54240FE388993A57E5EC099F89C6092B54240
2736B102-C584-4DF9-B128-4A28FE77A064,12,4,0xE61000000114FDE1AE6CB37E5EC0BAE4C92DBBB54240B2B05B6DB37E5EC049DB452CBBB54240
2736B102-C584-4DF9-B128-4A28FE77A064,13,2,0xE61000000114F4C34D6CB37E5EC0868CDB31BBB54240C6242C6DB37E5EC03FE6F22CBBB54240
2736B102-C584-4DF9-B128-4A28FE77A064,14,2,0xE61000000114C9E2BD6DB37E5EC00B08492BBBB542405BB67C6FB37E5EC09E9AF92CBBB54240
