SurveyId,Order,Mode,Shape
094ea028-139c-dc47-29f9-39d76bcb2f3c,0,0,0xE61000000114B784CBF7B07E5EC07A37BCC1B7B54240267759B2B17E5EC0F7FCC55BB7B54240
094ea028-139c-dc47-29f9-39d76bcb2f3c,1,0,0xE6100000010403000000567C0CBBAC7E5EC020D3F724A1B5424010D3428CA17E5EC08F36BAAF89B54240DFC489789E7E5EC0D096D1D181B5424001000000010000000001000000FFFFFFFF0000000002
094ea028-139c-dc47-29f9-39d76bcb2f3c,2,0,0xE61000000114581F8FD4B37E5EC03256309EBAB54240CEA6D2D5B37E5EC02A55A29FBAB54240
094ea028-139c-dc47-29f9-39d76bcb2f3c,3,0,0xE61000000114947F8DD5B37E5EC016777BA2BAB542409ED076D5B37E5EC05DD9A6A1BAB54240
094ea028-139c-dc47-29f9-39d76bcb2f3c,4,0,0xE6100000011432B2BED5B37E5EC04C32D09EBAB54240CC41E9D4B37E5EC002F9329FBAB54240
094ea028-139c-dc47-29f9-39d76bcb2f3c,5,3,0xE6100000010403000000267759B2B17E5EC0F7FCC55BB7B5424081DE1959B47E5EC02A32342FB7B54240C5771B76B57E5EC038B8240BB6B5424001000000010000000001000000FFFFFFFF0000000002
094ea028-139c-dc47-29f9-39d76bcb2f3c,6,3,0xE6100000010405000000DFC489789E7E5EC0D096D1D181B54240B49F11559D7E5EC0EEB84B7F82B54240585830799D7E5EC0FB47A0D783B54240E0A14A4BA07E5EC05DAE230D88B54240C495070AA57E5EC04EBA844192B5424001000000010000000001000000FFFFFFFF0000000002
094ea028-139c-dc47-29f9-39d76bcb2f3c,7,1,0xE6100000010403000000C5771B76B57E5EC038B8240BB6B542401A5084AEB57E5EC0B6664EF2B3B54240FEEC5A4CB47E5EC049022F03B1B5424001000000010000000001000000FFFFFFFF0000000002
094ea028-139c-dc47-29f9-39d76bcb2f3c,8,1,0xE6100000010405000000C495070AA57E5EC04EBA844192B542402CEA11E7B47E5EC0480477A7B3B54240836CE3F9B47E5EC024752D56B5B54240189F0B75B37E5EC04F8F6CC8B8B54240581F8FD4B37E5EC03256309EBAB5424001000000010000000001000000FFFFFFFF0000000002
094ea028-139c-dc47-29f9-39d76bcb2f3c,9,1,0xE61000000114E08ED8D5B37E5EC0AF438DA2BAB542406C6639D6B37E5EC0852A65A1BAB54240
094ea028-139c-dc47-29f9-39d76bcb2f3c,10,1,0xE610000001143DC51AD7B37E5EC01537FE9FBAB5424032B2BED5B37E5EC04C32D09EBAB54240
094ea028-139c-dc47-29f9-39d76bcb2f3c,11,4,0xE61000000114FEEC5A4CB47E5EC049022F03B1B54240567C0CBBAC7E5EC020D3F724A1B54240
094ea028-139c-dc47-29f9-39d76bcb2f3c,12,4,0xE610000001146C6639D6B37E5EC0852A65A1BAB54240947F8DD5B37E5EC016777BA2BAB54240
094ea028-139c-dc47-29f9-39d76bcb2f3c,13,2,0xE61000000114CEA6D2D5B37E5EC02A55A29FBAB54240E08ED8D5B37E5EC0AF438DA2BAB54240
094ea028-139c-dc47-29f9-39d76bcb2f3c,14,2,0xE610000001149ED076D5B37E5EC05DD9A6A1BAB542403DC51AD7B37E5EC01537FE9FBAB54240
