SurveyId,Order,Mode,Shape
e0802f97-591d-4806-d48e-39d76bb73231,0,0,0xE6100000010420000000AC9892B4FC7E5EC03038FE6FD1B242401E4FD998027F5EC033DFE83AD1B24240335CB107097F5EC06736BB68D2B24240536B31EA097F5EC08FE94562D4B2424091AA8F380A7F5EC01A3A49A4DAB242406F753A590A7F5EC0CC4DBCED47B34240265EF3A8097F5EC00B30A58D62B34240281F8EBF077F5EC056DD0A2B72B34240B3857B87FF7E5EC0AB09A75399B3424050315035FE7E5EC082C00344ADB3424064596E3CFE7E5EC03B2951CDEAB34240CE82A5CCFE7E5EC0C820208500B4424055510608007F5EC0C9C67EF00AB442406707E479057F5EC0000B80D528B442407ED5DEA5067F5EC08BDCDD5135B44240501DD8DF067F5EC0465E628066B442401F99244C067F5EC0CA18B2738BB442408224BF81047F5EC01C6317F68EB44240644E6700017F5EC0E5ACC42190B4424093D2FFD4DD7E5EC07891017D8FB44240EA13CFE4CB7E5EC06C292AAF8AB442402A30EBAEC17E5EC0576F93A289B442404869037F967E5EC01A0375AC8AB442400B5342B2927E5EC0A80FDE7D8CB442408E6AFBF3917E5EC0B8578D3B8EB442406362DCA6917E5EC0381C925B91B44240E4BEBD82907E5EC01B64857701B542401D507CB98E7E5EC07E315B0D36B54240DCA4BEA68E7E5EC0246CE84955B54240033E85598F7E5EC08B0C8FED5CB5424081A9A580917E5EC08EDE45CF66B54240FE9FDFC49A7E5EC0094252477DB5424001000000010000000001000000FFFFFFFF0000000002
e0802f97-591d-4806-d48e-39d76bb73231,1,0,0xE610000001141DBE3C64B57E5EC05DCC3466B6B542401D316C5BB57E5EC0994D4867B6B54240
e0802f97-591d-4806-d48e-39d76bb73231,2,0,0xE61000000114776AEAE4B07E5EC03CEEAF5DB7B54240A3DC15E7B07E5EC093D3E468B7B54240
e0802f97-591d-4806-d48e-39d76bb73231,3,0,0xE6100000011438116BEBB07E5EC0677D8AA1B7B5424066AF92ECB07E5EC04D92DEA2B7B54240
e0802f97-591d-4806-d48e-39d76bb73231,4,3,0xE61000000114FE9FDFC49A7E5EC0094252477DB54240F5DB4F3DA57E5EC01D96094392B54240
e0802f97-591d-4806-d48e-39d76bb73231,5,3,0xE610000001141D316C5BB57E5EC0994D4867B6B54240F3FBE77AB57E5EC02989D0DAB4B54240
e0802f97-591d-4806-d48e-39d76bb73231,6,1,0xE6100000010404000000F5DB4F3DA57E5EC01D96094392B542409C3B1A2FAF7E5EC0866D3A24A7B542405196BE5FAF7E5EC00F5EAD2EA9B5424044F051D3AE7E5EC019B1487FABB5424001000000010000000001000000FFFFFFFF0000000002
e0802f97-591d-4806-d48e-39d76bb73231,7,1,0xE610000001040F000000F3FBE77AB57E5EC02989D0DAB4B54240B81D1911B37E5EC01C787B3AAEB54240C9F2E2F39F7E5EC0E72538A385B542404E217C949E7E5EC04A8B1BFB80B542408172E04D9D7E5EC01015523381B542402CBA44999D7E5EC05620BB2683B54240792CE81EAF7E5EC0F4405931A7B54240F69A2C49AF7E5EC0CDA4777BA9B54240CE614992AE7E5EC0057F1BC3ACB54240B569BACFAE7E5EC05490DC4DAFB542405ADEA9DBB27E5EC0BE0CA84FB8B54240B611AB13B27E5EC0F7ADDE22BAB5424063A312CCB07E5EC010A79291BAB5424048EB4804B07E5EC099B056E7B8B54240776AEAE4B07E5EC03CEEAF5DB7B5424001000000010000000001000000FFFFFFFF0000000002
e0802f97-591d-4806-d48e-39d76bb73231,8,1,0xE61000000114E6B2A6E8B07E5EC03E17D17BB7B5424038116BEBB07E5EC0677D8AA1B7B54240
e0802f97-591d-4806-d48e-39d76bb73231,9,4,0xE610000001040500000044F051D3AE7E5EC019B1487FABB542406D7F89D8AE7E5EC0E1C8766AAFB542406B7B27B7B27E5EC046C6ABE8B6B54240A6D2F150B47E5EC0D6260ABDB7B542401DBE3C64B57E5EC05DCC3466B6B5424001000000010000000001000000FFFFFFFF0000000002
e0802f97-591d-4806-d48e-39d76bb73231,10,4,0xE6100000011415F012E7B07E5EC060179371B7B54240EFC487E7B07E5EC052A07574B7B54240
e0802f97-591d-4806-d48e-39d76bb73231,11,2,0xE61000000114A3DC15E7B07E5EC093D3E468B7B5424002D816E7B07E5EC06A276671B7B54240
e0802f97-591d-4806-d48e-39d76bb73231,12,2,0xE61000000114CC7369E7B07E5EC0B4CBD974B7B54240E6B2A6E8B07E5EC03E17D17BB7B54240
