SurveyId,Order,Mode,Shape
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,0,4,0xE61000000114B5482BD69F7E5EC090AB6C4186B54240907142F39E7E5EC088BF3BDB82B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,1,4,0xE6100000010404000000F85C9BB6AE7E5EC04052F874AFB542406850C51CB27E5EC0DB4E6551B7B54240F6C37CFCB37E5EC0B9E239FFB7B54240FE8899B2B57E5EC0AC65747FB6B5424001000000010000000001000000FFFFFFFF0000000002
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,2,4,0xE6100000011446CBC072B07E5EC02DCA6803B8B54240F8DD0B72B07E5EC0CBEF6704B8B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,3,0,0xE6100000010405000000907142F39E7E5EC088BF3BDB82B54240546FE8549E7E5EC00964FFDB80B54240E6C687079D7E5EC07094568681B5424001B9BE4F9D7E5EC06687BEE182B5424008C2F9589F7E5EC07BAE277285B5424001000000010000000001000000FFFFFFFF0000000002
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,4,0,0xE6100000010403000000FE8899B2B57E5EC0AC65747FB6B54240AC740CC3B57E5EC07977EE54B4B54240277E0885B47E5EC0C5E5665CB1B5424001000000010000000001000000FFFFFFFF0000000002
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,5,0,0xE610000001141834447BB07E5EC033FEFD05B8B54240D100FB79B07E5EC018BFFE0AB8B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,6,0,0xE610000001146E12B372B07E5EC0BB956402B8B542402EF3D472B07E5EC0F9306D03B8B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,7,0,0xE61000000114F8DD0B72B07E5EC0CBEF6704B8B54240E0387B71B07E5EC08E2D1D02B8B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,8,0,0xE61000000114F12BB570B07E5EC0C0A8A3FEB7B542408326266FB07E5EC04912E004B8B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,9,3,0xE6100000011408C2F9589F7E5EC07BAE277285B54240BBA0F7CBA57E5EC0DCE555D592B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,10,3,0xE6100000010406000000277E0885B47E5EC0C5E5665CB1B542401D5B22ADA17E5EC0E25C6C568AB54240676A3E9C9F7E5EC0E960648D85B54240FBD1D4BA9E7E5EC0931AB3DE81B542405F648F9B9D7E5EC0D5BDD72281B54240F5FD523B9D7E5EC0616519E082B5424001000000010000000001000000FFFFFFFF0000000002
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,11,1,0xE6100000010405000000BBA0F7CBA57E5EC0DCE555D592B54240F4D456E2AE7E5EC07FFA7DA8A6B542408106FB47AF7E5EC0CC68C1F0A8B542406441D985AE7E5EC09405F5BEADB54240F85C9BB6AE7E5EC04052F874AFB5424001000000010000000001000000FFFFFFFF0000000002
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,12,1,0xE610000001040A000000F5FD523B9D7E5EC0616519E082B54240B5319F13A17E5EC016B315F488B542403F427FC4A47E5EC0AEEA774092B542406F0FAFA4AA7E5EC0078FA2819CB54240429EB670AD7E5EC01040EEB8A2B542409F44EE63AF7E5EC0ED7E2122A9B54240B61EE5A7AE7E5EC049E3B665ADB542408A21C659AE7E5EC057BB06ADB5B5424038C2F237AF7E5EC0326A7DC9B7B542401834447BB07E5EC033FEFD05B8B5424001000000010000000001000000FFFFFFFF0000000002
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,13,1,0xE610000001143030DD78B07E5EC0BF0F9A0BB8B542406E12B372B07E5EC0BB956402B8B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,14,1,0xE610000001149B1B2B73B07E5EC00F248903B8B5424046CBC072B07E5EC02DCA6803B8B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,15,1,0xE61000000114D27DBB6FB07E5EC02E1FF901B8B54240F12BB570B07E5EC0C0A8A3FEB7B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,16,2,0xE61000000114D100FB79B07E5EC018BFFE0AB8B542403030DD78B07E5EC0BF0F9A0BB8B54240
D5F3DDA7-6BD7-4397-9DC3-703E5ECB22A6,17,2,0xE61000000114E0387B71B07E5EC08E2D1D02B8B54240D27DBB6FB07E5EC02E1FF901B8B54240
