SurveyId,Order,Mode,Shape
9b13ebaa-260a-4b4b-af12-10fabaecf126,0,0,0xE61000000114A469F57ADC8E5EC070F97A84BBBD4240D766297ADC8E5EC0CAD2FB84BBBD4240
9b13ebaa-260a-4b4b-af12-10fabaecf126,1,0,0xE61000000114D1206879DC8E5EC0D65E7E86BBBD4240953A1279DC8E5EC094326785BBBD4240
9b13ebaa-260a-4b4b-af12-10fabaecf126,2,0,0xE6100000011461E80932DF8E5EC0263ACB2CC2BD424082BA7120DE8E5EC0C533EC20C4BD4240
9b13ebaa-260a-4b4b-af12-10fabaecf126,3,0,0xE61000000114304D6C99E78E5EC0F7091CE0B4BD4240313301F9F18E5EC083D56033A3BD4240
9b13ebaa-260a-4b4b-af12-10fabaecf126,4,0,0xE61000000114B3EA18FCE28E5EC07C8D8FDCBBBD4240E3C19AF3E18E5EC028918EBCBDBD4240
9b13ebaa-260a-4b4b-af12-10fabaecf126,5,0,0xE61000000104180000007448C55AD78E5EC02AB09D7BD1BD4240FFBE5674F18E5EC0C446936AA3BD42400FCA45C6F48E5EC06D4B702CA0BD424018E179EBF48E5EC03EAE703F9EBD42402D1B8456F38E5EC0FCBEE21D9EBD4240DB9F30CDD98E5EC0D9D5FDC6CBBD42401EEB779BD68E5EC09072071CCFBD424003AE6D82D68E5EC02AF40BC0D0BD42405CEFED4CD78E5EC059343A73D1BD424083DFA726D88E5EC00626BBC2D0BD4240D2A5459EE08E5EC00818E116C1BD4240AB8BC2CBDF8E5EC040366665BDBD42409354858ADA8E5EC003B1F01EB5BD4240731528B5D98E5EC0A4F4B7CAB4BD4240CCBDFA57DA8E5EC027959D3CB4BD4240460BD0B6DA8E5EC04F175213B7BD42409A55C82ADF8E5EC0E6142EF5BDBD4240A59993BCDF8E5EC0E58DFE5DC0BD424097EBA7DEDE8E5EC05BC4030CC3BD424073428DE7D88E5EC00225AA5CCDBD4240179899C2D88E5EC0554796E5CEBD424011F7606BD98E5EC00D0034CECFBD42407CA90AD3D88E5EC001CC8CE9CFBD42401E6C1406E38E5EC0DBD06263BDBD424001000000010000000001000000FFFFFFFF0000000002
9b13ebaa-260a-4b4b-af12-10fabaecf126,6,1,0xE610000001040600000082BA7120DE8E5EC0C533EC20C4BD424041736B0CD98E5EC020E6790DCDBD4240A38557D4D88E5EC002139767CEBD4240DE778856D98E5EC0907A9972CFBD42405F30F291D88E5EC05490FA46CFBD4240E682E96AE18E5EC050EC15D4BFBD424001000000010000000001000000FFFFFFFF0000000002
9b13ebaa-260a-4b4b-af12-10fabaecf126,7,1,0xE6100000010420000000E3C19AF3E18E5EC028918EBCBDBD42408583B518D98E5EC0C1F00005CDBD424000265FBFD68E5EC00715EA23CFBD42401B9CA98CD68E5EC0CBEBD2D0D0BD4240D9015B4ED78E5EC0E8C45885D1BD42401D261233D88E5EC0D72EF170D0BD424070DD41AAF08E5EC0F3A9A5B1A4BD424077FF0EFBF38E5EC02BB121EEA0BD42402D052836F48E5EC0DE15C9709FBD424096170DD7F28E5EC0028FDA8A9EBD424041FC36A3EA8E5EC0BFC0E6FBADBD42401902C27FE18E5EC04C908D17BDBD42400E46D376DF8E5EC07002BACCBCBD42402388D262D98E5EC08C4305A0B4BD42401696AA7ADA8E5EC00FA76132B4BD4240CC8FE833DA8E5EC07F92AFC2B5BD4240F8EBE3DBDA8E5EC078203681B7BD4240D0BB6F84DE8E5EC09A611F74BBBD42409445ABA4DF8E5EC0448B09BDC0BD4240119F854ED98E5EC0AF98CFC1CCBD42404BA633C5D68E5EC0FB21154ACFBD42403FB35EEBD68E5EC0E8C00F5AD1BD424065038638D88E5EC0952CA368D0BD4240021D9C3EF18E5EC04D730205A4BD424056D182C4F48E5EC0EF5F30EAA0BD4240C47783E4F48E5EC04FAB2A2C9FBD424003586810F48E5EC079573D609EBD424030D1A43DF38E5EC0BBD001EE9EBD4240888D68F1D88E5EC055FD8492CDBD4240AD774D82D68E5EC066B6D03ACFBD42406C88BF60D68E5EC02A5FA7C3D0BD42407448C55AD78E5EC02AB09D7BD1BD424001000000010000000001000000FFFFFFFF0000000002
9b13ebaa-260a-4b4b-af12-10fabaecf126,8,3,0xE61000000114953A1279DC8E5EC094326785BBBD42403F04F278DC8E5EC047E56886BBBD4240
9b13ebaa-260a-4b4b-af12-10fabaecf126,9,3,0xE6100000010404000000953A1279DC8E5EC047E56886BBBD424076F65B5CDF8E5EC04BD3B905BFBD42409F905B9BDF8E5EC0CDE826B5C0BD424061E80932DF8E5EC0263ACB2CC2BD424001000000010000000001000000FFFFFFFF0000000002
9b13ebaa-260a-4b4b-af12-10fabaecf126,10,3,0xE6100000010406000000313301F9F18E5EC083D56033A3BD424021BA773FF48E5EC049311F94A0BD4240A7B50642F48E5EC08B6E9C989EBD42408D0422DDF28E5EC08B16C17B9EBD42406A2D9297F18E5EC0FB6E04F3A1BD4240B3EA18FCE28E5EC07C8D8FDCBBBD424001000000010000000001000000FFFFFFFF0000000002
9b13ebaa-260a-4b4b-af12-10fabaecf126,11,4,0xE61000000114124D7F7ADC8E5EC0CAD2FB84BBBD4240D1206879DC8E5EC0D65E7E86BBBD4240
9b13ebaa-260a-4b4b-af12-10fabaecf126,12,4,0xE61000000114E682E96AE18E5EC050EC15D4BFBD4240304D6C99E78E5EC0F7091CE0B4BD4240
