SurveyId,Order,Mode,Shape
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,0,0,0xE610000001041E000000592B4AABB77E5EC0AA70A80AB6B54240D6EBB14AB77E5EC008637EFFB3B54240E3FD3D2DB37E5EC0B52A6839BCB54240A9396033A87E5EC04AB7A8BBC9B5424068DA472DA57E5EC00BBFB0BDC9B5424050E3C02CA27E5EC07822CCF4C4B54240A868D224A07E5EC02F74000EC0B54240BE453C86A07E5EC00E6071D0BAB5424098CA3594AA7E5EC0C5150B9CADB54240984CB1FDAB7E5EC0604E6386ACB5424055F7A381AD7E5EC077EA750BADB54240181B5892B27E5EC0361D9A1BB7B54240DC10A7C7B47E5EC06DD09286B7B5424085D1B98AC27E5EC0898A130AA7B5424014CEE0BDC37E5EC08E48CADAA2B54240F27748CBC37E5EC0B5E3892B9DB54240BC076375C27E5EC046D2407B9AB54240A4BDE565BD7E5EC0536666EF97B5424060C05B52B77E5EC0AC63849A92B54240B45F7718B37E5EC0EB249D9D8AB54240C13FB704B27E5EC023B958AC89B5424055F2DEB5AF7E5EC063981AEC8AB5424068135D9AA87E5EC0E7F6F65595B54240B5370E29A77E5EC0340C364995B542409A514A09977E5EC0A5FE278672B54240E3AF96F2927E5EC048727A8368B542404E3988D9907E5EC07B90AA565FB5424032615DA88F7E5EC04D68F5BC5EB5424082BFD1568F7E5EC006A818D960B5424025198D70937E5EC0466F3AA16CB5424001000000010000000001000000FFFFFFFF0000000002
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,1,0,0xE610000001140A4276EBB17E5EC011CD4A24ADB54240B0ABDA62B47E5EC09F17E335B2B54240
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,2,0,0xE6100000010403000000F51AA765B57E5EC012243AA3B4B5424025B95EA3B57E5EC0258593A0B6B54240E1EB4ECBB47E5EC0F12798A8B9B5424001000000010000000001000000FFFFFFFF0000000002
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,3,0,0xE610000001143B3C603DAD7E5EC0763816AEC3B542404302418EA97E5EC0A5C5D424C8B54240
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,4,0,0xE610000001041900000014C2BA6EA87E5EC0C464E552C9B5424042A30BA5A67E5EC0592C7ED9C9B542409139B8B9A47E5EC0D49532C3C8B5424055D02C41A17E5EC0647EEDB4C2B54240E273D104A17E5EC0961AB485C0B5424097F8476EA27E5EC02C1D0493C0B54240C446D1A2A37E5EC0E10850F2C5B5424005B4301CA57E5EC02637C690C8B54240FEA866C6A67E5EC00CAAB30DCAB542404110E4E0A77E5EC0197227DDC9B54240C3933662B07E5EC050383A71BFB542402FF389D0B47E5EC03DF43263B8B54240BD0560A0B57E5EC04AA0E936B6B542403A0C9A73B57E5EC0D2C54258B3B542405E3ED012997E5EC070AE013977B54240A757661D937E5EC0AE7B50DA68B5424038E01EE9907E5EC02A74E68D5FB54240B2F2DDDA8F7E5EC05A29D59E5EB5424091F6DD388F7E5EC0DEF3339E5FB542401E6E28E08F7E5EC067FEDCAD62B542405BEC8B11987E5EC0834B989E77B5424031E26447AF7E5EC0D751988FA7B54240937A1FA0AF7E5EC0FA2A2F3EA9B542405D9455BEAE7E5EC0E6407BD7ABB54240ECCBC106AB7E5EC08BEBA61BADB5424001000000010000000001000000FFFFFFFF0000000002
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,5,3,0xE6100000011425198D70937E5EC0466F3AA16CB54240B6FE287C987E5EC0DF693C6978B54240
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,6,3,0xE610000001040F000000ECCBC106AB7E5EC08BEBA61BADB54240ED83493FAA7E5EC0DC925DB1AEB5424076DCBAA7AA7E5EC0A99D534AB0B5424082EC206FAC7E5EC0144F3CC0B1B54240D2F8C3E4AD7E5EC06F8AB4FEB0B54240ACCF3CA7AF7E5EC0650AB30EA8B54240D3F13C7FA87E5EC0C68328D497B54240C68C3A62A87E5EC09F8223AF96B54240AE5B4C22A97E5EC05E479D1D95B5424056A27B9DAA7E5EC04C74923E95B5424055CB62DCAB7E5EC07BD3FE0797B54240AE8A2028B87E5EC0A597C006B1B542408ACEA308B87E5EC0770FC6FFB2B54240D2EEA1FFB57E5EC089BF82A5B5B54240B06BF100B67E5EC0587C3BC0B7B5424001000000010000000001000000FFFFFFFF0000000002
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,7,1,0xE61000000114B6FE287C987E5EC0DF693C6978B54240FD85BA40A67E5EC080B7B9EB94B54240
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,8,4,0xE61000000114FD85BA40A67E5EC080B7B9EB94B542400A4276EBB17E5EC011CD4A24ADB54240
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,9,6,0xE61000000114B0ABDA62B47E5EC09F17E335B2B54240F51AA765B57E5EC012243AA3B4B54240
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,10,6,0xE61000000114E1EB4ECBB47E5EC0F12798A8B9B542403B3C603DAD7E5EC0763816AEC3B54240
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,11,6,0xE610000001144302418EA97E5EC0A5C5D424C8B5424014C2BA6EA87E5EC0C464E552C9B54240
