SurveyId,Order,Mode,Shape
73503ee6-8cd5-4b22-8d79-62c35ce79ff7,0,0,0xE6100000011470BEA641B07E5EC08CACEB06C0B542403B1E1242B07E5EC092F2AC07C0B54240
73503ee6-8cd5-4b22-8d79-62c35ce79ff7,1,0,0xE6100000010414000000F008D93FB07E5EC0E5856C07C0B54240D353DC9FA87E5EC0E625393FC9B5424081B3942CA77E5EC0693AF9FCC9B542404A694F2CA47E5EC058723699C8B54240DE293649A07E5EC038ECC6D4C0B542403AF66010A07E5EC0999427B5BCB54240F514D619A17E5EC095568D6FB9B54240F64EFD6AAB7E5EC0CB06A1D5ACB54240A46F6F0AAD7E5EC07854466DACB5424051760A24AE7E5EC0FB01B452ADB5424048E9A940B37E5EC09C09D9BBB7B5424071FF1522B57E5EC0D25CC02EB7B542404D0F8E82B57E5EC01560508DB4B542408796A7399A7E5EC03FEFBE117AB54240FFC7AE59937E5EC0AC3085206AB5424006E5E8B7907E5EC0D5285E445FB54240E61B55768F7E5EC06A0A6CE75EB5424078B2DD358F7E5EC01C2A63CF60B54240D4EBFDE3907E5EC03DA29D2E66B54240D7EA1F02967E5EC09C74D7E972B5424001000000010000000001000000FFFFFFFF0000000002
73503ee6-8cd5-4b22-8d79-62c35ce79ff7,2,0,0xE61000000114B26963F4B57E5EC00DD195C6B7B54240AFC602F4B57E5EC0D89B9CCAB7B54240
73503ee6-8cd5-4b22-8d79-62c35ce79ff7,3,0,0xE610000001147DC68D74A97E5EC04780AA3CC7B542407DC68D74A97E5EC0E21AA73AC7B54240
73503ee6-8cd5-4b22-8d79-62c35ce79ff7,4,0,0xE610000001144C97D5A6B77E5EC0CDD03606B6B54240727322A8B77E5EC0AF48A709B6B54240
73503ee6-8cd5-4b22-8d79-62c35ce79ff7,5,3,0xE610000001143B1E1242B07E5EC092F2AC07C0B5424067D58440B07E5EC092871104C0B54240
73503ee6-8cd5-4b22-8d79-62c35ce79ff7,6,3,0xE6100000010403000000D7EA1F02967E5EC09C74D7E972B54240AA0C67A7B47E5EC08DC798FDB2B54240B26963F4B57E5EC00DD195C6B7B5424001000000010000000001000000FFFFFFFF0000000002
73503ee6-8cd5-4b22-8d79-62c35ce79ff7,7,3,0xE6100000010409000000AFC602F4B57E5EC0D89B9CCAB7B54240FC8D13B2B57E5EC0CC06DB80B6B5424008B6423FB07E5EC0C23577F4BFB542406863FC66A87E5EC0F8BAF361C9B542404FFACE71A67E5EC04BD8E9CDC9B542401DAF40F4A47E5EC0C5C218AAC5B5424005E4E87DA57E5EC06636E1C1C3B54240E9631D12A77E5EC013D8184BC3B542407DC68D74A97E5EC04780AA3CC7B5424001000000010000000001000000FFFFFFFF0000000002
73503ee6-8cd5-4b22-8d79-62c35ce79ff7,8,3,0xE61000000104060000007DC68D74A97E5EC0E21AA73AC7B54240127640C8A87E5EC0F4DCC68FC6B5424035837488AA7E5EC0FA1D9273C5B54240D30E66B0B57E5EC09DA3C839B5B5424040798AE2B67E5EC0B548A0E2B4B542404C97D5A6B77E5EC0CDD03606B6B5424001000000010000000001000000FFFFFFFF0000000002
73503ee6-8cd5-4b22-8d79-62c35ce79ff7,9,6,0xE6100000011467D58440B07E5EC092871104C0B54240F008D93FB07E5EC0E5856C07C0B54240
