SurveyId,Order,Mode,Shape
1556AC85-A125-0347-2A02-39D4B529C6BD,0,0,0xE610000001147DD8A741B07E5EC0F904ED06C0B5424007EE1042B07E5EC082E8B107C0B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,1,0,0xE61000000104140000007BEFDD3FB07E5EC004207007C0B5424065E0DB9FA87E5EC06D2B433FC9B54240A45A992CA77E5EC03B45FCFCC9B5424025CE4E2CA47E5EC06E3B3499C8B5424057D73049A07E5EC04E2DBFD4C0B5424003046210A07E5EC0FF4323B5BCB54240EBFCD819A17E5EC09938916FB9B54240A377FF6AAB7E5EC04AA9ABD5ACB54240C2E66F0AAD7E5EC058DB466DACB54240065D0B24AE7E5EC0DE7FAA52ADB5424046A2A440B37E5EC095EFE2BBB7B54240981E1522B57E5EC060B2B92EB7B54240B7048F82B57E5EC0823E4E8DB4B542400031A3399A7E5EC0AE6FB6117AB5424069B8AB59937E5EC0310180206AB542404FA7EAB7907E5EC0B23164445FB54240256D53768F7E5EC0057F67E75EB54240ACFCD8358F7E5EC0885365CF60B542405EBCFEE3907E5EC0CF9B982E66B5424087E52002967E5EC0CBBECCE972B5424001000000010000000001000000FFFFFFFF0000000002
1556AC85-A125-0347-2A02-39D4B529C6BD,2,0,0xE610000001141FA062F4B57E5EC0179192C6B7B54240839003F4B57E5EC0698A95CAB7B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,3,0,0xE6100000011499819174A97E5EC05858B03CC7B54240D6509274A97E5EC0E8E7A03AC7B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,4,0,0xE61000000114836DD5A6B77E5EC089503A06B6B54240656124A8B77E5EC0D6919809B6B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,5,2,0xE6100000011407EE1042B07E5EC082E8B107C0B5424010E32241B07E5EC0B812FF08C0B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,6,2,0xE61000000114D6509274A97E5EC0E8E7A03AC7B54240E29A8875A97E5EC0912FEF38C7B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,7,1,0xE6100000011410E32241B07E5EC0B812FF08C0B54240A6335D40B07E5EC0A780E908C0B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,8,1,0xE610000001144E01865CA37E5EC09890611F8FB54240C73265A7B47E5EC01D7B91FDB2B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,9,1,0xE610000001040700000068608806AD7E5EC0B0BCCDE8C3B54240089A1A61A77E5EC014844EEBC9B5424014D956C4A57E5EC016042BE0C8B54240286D45F4A47E5EC0C5C218AAC5B542404123EA7DA57E5EC05F60E8C1C3B54240520B1C12A77E5EC0E70C184BC3B5424099819174A97E5EC05858B03CC7B5424001000000010000000001000000FFFFFFFF0000000002
1556AC85-A125-0347-2A02-39D4B529C6BD,10,1,0xE6100000010406000000E29A8875A97E5EC0912FEF38C7B54240C27943C8A87E5EC05621C08FC6B54240FA897188AA7E5EC031649B73C5B542405C9563B0B57E5EC0DAE5C339B5B54240BACD8AE2B67E5EC09BC6A1E2B4B54240836DD5A6B77E5EC089503A06B6B5424001000000010000000001000000FFFFFFFF0000000002
1556AC85-A125-0347-2A02-39D4B529C6BD,11,4,0xE61000000114A6335D40B07E5EC0A780E908C0B54240B8948540B07E5EC039750904C0B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,12,4,0xE61000000114C73265A7B47E5EC01D7B91FDB2B542401FA062F4B57E5EC0179192C6B7B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,13,6,0xE61000000114B8948540B07E5EC039750904C0B542407BEFDD3FB07E5EC004207007C0B54240
1556AC85-A125-0347-2A02-39D4B529C6BD,14,3,0xE6100000011487E52002967E5EC0CBBECCE972B542404E01865CA37E5EC09890611F8FB54240
1556AC85-A125-0347-2A02-39D4B529C6BD,15,3,0xE6100000010404000000839003F4B57E5EC0698A95CAB7B54240D79C17B2B57E5EC05C0DDC80B6B542409E187EB9B07E5EC0CC6B003CBFB5424068608806AD7E5EC0B0BCCDE8C3B5424001000000010000000001000000FFFFFFFF0000000002
