SurveyId,Order,Mode,Shape
66d17e0a-96d7-4671-995c-61ab5183119c,0,0,0xE610000001040F000000D588688DA47E5EC015429CC1BEB542408A9F5267A67E5EC0E73854DFBBB542409FB489F6A57E5EC0C687D9CBB6B5424084C87595A67E5EC0BCE58F0EB4B542400FCD442AAF7E5EC031310A40ABB5424053E969B8AF7E5EC008F966BCA9B542406E4CF49EAF7E5EC03F430FE7A7B54240DBCC95FF987E5EC04C69C38277B54240DC048CEC927E5EC01267C90C69B542406641B498907E5EC09467E2465FB542406983FA338F7E5EC06A25BE245FB54240FE2BC8228F7E5EC0BCA7172161B54240EB85A7FC907E5EC01F6B04EA66B54240D9976C3C987E5EC0C2361C7578B542403800F290AF7E5EC0BB2C60E1A8B5424001000000010000000001000000FFFFFFFF0000000002
66d17e0a-96d7-4671-995c-61ab5183119c,1,0,0xE61000000114BE4F76AFAA7E5EC058095032BDB54240850C81AFAA7E5EC010D8493BBDB54240
66d17e0a-96d7-4671-995c-61ab5183119c,2,0,0xE61000000114521C72F9B07E5EC00F7E7FD6BEB54240FF88B2F9B07E5EC0984638D2BEB54240
66d17e0a-96d7-4671-995c-61ab5183119c,3,0,0xE610000001145C2B0C57A87E5EC0CEFEBC80C9B5424042DB4157A87E5EC0468A9676C9B54240
66d17e0a-96d7-4671-995c-61ab5183119c,4,3,0xE6100000011476D12556A57E5EC0B74B76C7BDB54240ED9DD156A57E5EC05D075AC3BDB54240
66d17e0a-96d7-4671-995c-61ab5183119c,5,3,0xE61000000104100000003800F290AF7E5EC0BB2C60E1A8B54240C44971C0B47E5EC0A480DD7EB3B54240411F55E2B47E5EC0C0DAC5F2B6B54240588F982CB07E5EC074F3A685BFB54240CBF78C44A87E5EC04C3BF37AC9B542403493FB5FA67E5EC004FFBEF3C9B54240E7847588A47E5EC04C5598C6C8B54240EBC76815A47E5EC02FD2934BC6B54240B87306EBA47E5EC0D72FF91BC4B54240815BB90FA77E5EC031E24C5DC3B542404465AAFDA97E5EC0DC6CE66FC6B542400A94A001AD7E5EC0EA721095C2B542409B515680AD7E5EC06E652E15C0B54240D4479EF3AC7E5EC0463470F6BDB54240BAF2DDD6AB7E5EC05EDCE3D8BCB54240BE4F76AFAA7E5EC058095032BDB5424001000000010000000001000000FFFFFFFF0000000002
66d17e0a-96d7-4671-995c-61ab5183119c,6,3,0xE6100000010411000000850C81AFAA7E5EC010D8493BBDB542408F3CAD2EA97E5EC0EC84B8EEBDB542404B60ADB9A77E5EC034922D60BCB542407209F279A67E5EC0A72C1A9DB9B542404366BA19A67E5EC05B87D5E5B5B542401E234D7AA77E5EC075FFDCC0B2B542408C208436AF7E5EC0C631B34BABB5424023E328ABAF7E5EC06EF221C9A8B5424011B5C060AF7E5EC02D61A737A7B542407ECC20A19A7E5EC0322760227BB54240F5DC9D10957E5EC0DA8AC3BA6DB54240CF62ADCA937E5EC093B87D456DB5424023AD0869937E5EC0390EBC5A6EB54240F95FB6B6937E5EC0203C7F7F6FB5424012C138B8B47E5EC04B3CC17AB3B54240F4A344BFB47E5EC03725CDDDB6B54240F0C46AFBB07E5EC0AA187CD4BEB5424001000000010000000001000000FFFFFFFF0000000002
66d17e0a-96d7-4671-995c-61ab5183119c,7,3,0xE61000000114ED210AFBB07E5EC0E6FED1D4BEB54240521C72F9B07E5EC00F7E7FD6BEB54240
66d17e0a-96d7-4671-995c-61ab5183119c,8,3,0xE61000000114FF88B2F9B07E5EC0984638D2BEB542405C2B0C57A87E5EC0CEFEBC80C9B54240
66d17e0a-96d7-4671-995c-61ab5183119c,9,6,0xE61000000114ED9DD156A57E5EC05D075AC3BDB54240D588688DA47E5EC015429CC1BEB54240
