SurveyId,Order,Mode,Shape
66D17E0A-96D7-4671-995C-61AB5183119C,0,2,0xE6100000011497F92456A57E5EC03AE36BC7BDB54240C2C2A756A57E5EC08D6966C5BDB54240
66D17E0A-96D7-4671-995C-61AB5183119C,1,2,0xE61000000114891009FBB07E5EC07985D1D4BEB5424083E603FAB07E5EC0BAFC67D3BEB54240
66D17E0A-96D7-4671-995C-61AB5183119C,2,4,0xE61000000114BBE6E456A57E5EC04B97DFC5BDB54240E13BD356A57E5EC06A6850C3BDB54240
66D17E0A-96D7-4671-995C-61AB5183119C,3,4,0xE610000001141535D998B17E5EC07349D3DABDB5424001706EFBB07E5EC0F98976D4BEB54240
66D17E0A-96D7-4671-995C-61AB5183119C,4,4,0xE6100000011483E603FAB07E5EC0BAFC67D3BEB5424023576FF9B07E5EC04E0E89D6BEB54240
66D17E0A-96D7-4671-995C-61AB5183119C,5,6,0xE61000000114E13BD356A57E5EC06A6850C3BDB5424008B2658DA47E5EC055DDA2C1BEB54240
66D17E0A-96D7-4671-995C-61AB5183119C,6,0,0xE610000001040F00000008B2658DA47E5EC055DDA2C1BEB542402BD85367A67E5EC00B4D4EDFBBB54240260B87F6A57E5EC051D7DCCBB6B542406F467495A67E5EC0DDDB920EB4B54240488D422AAF7E5EC064490E40ABB54240FE9466B8AF7E5EC0D80C6CBCA9B5424041BDF29EAF7E5EC0A8950DE7A7B54240AD9091FF987E5EC0121BCB8277B5424023AA88EC927E5EC05DD3C60C69B542409659B398907E5EC030B2EB465FB542400651FC338F7E5EC0DA47B8245FB54240DF3EC9228F7E5EC01C4C172161B54240736AACFC907E5EC0A57D09EA66B542401ED06F3C987E5EC0F7BB157578B542400AA4F090AF7E5EC0E3585DE1A8B5424001000000010000000001000000FFFFFFFF0000000002
66D17E0A-96D7-4671-995C-61AB5183119C,7,0,0xE61000000114E3FE72AFAA7E5EC0088E5532BDB54240447683AFAA7E5EC07150433BBDB54240
66D17E0A-96D7-4671-995C-61AB5183119C,8,0,0xE6100000011401706EFBB07E5EC0F98976D4BEB54240891009FBB07E5EC07985D1D4BEB54240
66D17E0A-96D7-4671-995C-61AB5183119C,9,0,0xE6100000011423576FF9B07E5EC04E0E89D6BEB54240179EB7F9B07E5EC0479237D2BEB54240
66D17E0A-96D7-4671-995C-61AB5183119C,10,0,0xE61000000114CE690957A87E5EC08705BC80C9B54240A5023F57A87E5EC042C78976C9B54240
66D17E0A-96D7-4671-995C-61AB5183119C,11,3,0xE61000000104050000000AA4F090AF7E5EC0E3585DE1A8B54240752B73C0B47E5EC019D1D77EB3B54240C38E721BB57E5EC07F811DF5B5B5424081969D2CB07E5EC08D499D85BFB542405984DE78AB7E5EC01DD3A2A2C5B5424001000000010000000001000000FFFFFFFF0000000002
66D17E0A-96D7-4671-995C-61AB5183119C,12,3,0xE610000001040A000000447683AFAA7E5EC07150433BBDB542401C5CAA2EA97E5EC0636BB4EEBDB54240A755A9B9A77E5EC03D452D60BCB542404EDEF479A67E5EC023B5119DB9B5424059FEB619A67E5EC0DEEAD6E5B5B542407DD24C7AA77E5EC03C1ED9C0B2B5424073D957D1AE7E5EC0313270E6ABB54240017026ABAF7E5EC05BCE1EC9A8B5424042C79F00AE7E5EC07288D9CFA3B54240414A8836A67E5EC021BA24A593B5424001000000010000000001000000FFFFFFFF0000000002
66D17E0A-96D7-4671-995C-61AB5183119C,13,1,0xE610000001040C0000005984DE78AB7E5EC01DD3A2A2C5B542400D9CF346A77E5EC00CDA2B02CAB54240BBA48C58A57E5EC0DD5ADF9DC9B54240ECD4E71CA47E5EC0D233E696C7B54240567ED45FA47E5EC099A4E821C5B54240E7DF9027A67E5EC0C8857D37C3B542407812AAFDA97E5EC001EFDB6FC6B54240B905EF77AC7E5EC0CD7FB974C3B5424017DB5A72AD7E5EC0933BAE42C1B54240AAFA8D4FAD7E5EC042B72AF3BEB542406327B873AC7E5EC05689163BBDB54240E3FE72AFAA7E5EC0088E5532BDB5424001000000010000000001000000FFFFFFFF0000000002
66D17E0A-96D7-4671-995C-61AB5183119C,14,1,0xE6100000010409000000414A8836A67E5EC021BA24A593B5424065226385997E5EC0B6456EB478B54240570D9F10957E5EC0B1AFC6BA6DB54240410FAFCA937E5EC03A4A73456DB54240B61B0569937E5EC03275BB5A6EB542400CD9B6B6937E5EC0C5E27B7F6FB54240175B38B8B47E5EC07940BD7AB3B542400FB243BFB47E5EC07050C5DDB6B542401535D998B17E5EC07349D3DABDB5424001000000010000000001000000FFFFFFFF0000000002
66D17E0A-96D7-4671-995C-61AB5183119C,15,1,0xE610000001148D15F1F9B07E5EC066381BD2BEB54240CE690957A87E5EC08705BC80C9B54240
