SurveyId,Order,Mode,Shape
6a838899-09d5-41f2-9bdd-40feeab0b5ac,0,0,0xE6100000010404000000B1AF4C2AA07E5EC0F3C08DB5BBB5424034775F5BA07E5EC011D79C49BCB5424054C533ECA07E5EC09571DFACB9B542408531B7B5A47E5EC0271FD4A8B4B5424001000000010000000001000000FFFFFFFF0000000002
6a838899-09d5-41f2-9bdd-40feeab0b5ac,1,0,0xE61000000104160000003DDC27AAAB7E5EC0FB709881ADB54240C5E4705AAE7E5EC077D0B20FAEB542400A5CAA14B37E5EC0C0D3E08DB7B5424021295C6EB47E5EC0251364C2B7B542408524715EB57E5EC0FC455C42B6B542407A81E54AB57E5EC0F7F165DCB3B5424009B97B4EB47E5EC0649E6C35B1B54240C632BBF69E7E5EC027AA8E8784B5424063EE3934957E5EC06E7510A66EB5424053F36E8F927E5EC02AC6D88D67B54240F74A6AB2907E5EC0348972505FB54240257014EE8F7E5EC0E83AC75F5EB542408A2C461B8F7E5EC07C1939C95EB54240D838720F8F7E5EC0639C3BD160B54240F79C0D5C927E5EC088793D356AB54240CCB8043B997E5EC00985CE8C7AB54240869E831DB57E5EC039ACFC74B4B54240FD8C66C0B47E5EC0B42C0C4FB7B5424046D8A667B07E5EC074B2D47ABFB5424080DB6EDDA87E5EC07B72E2E5C8B5424043C2DE61A67E5EC0D4F0EB8FC9B54240913AE8AFA37E5EC02F1CA59EC7B5424001000000010000000001000000FFFFFFFF0000000002
6a838899-09d5-41f2-9bdd-40feeab0b5ac,2,0,0xE610000001142A8A1DAE917E5EC0DEAE136E64B54240D7270C0C917E5EC057D7781B61B54240
6a838899-09d5-41f2-9bdd-40feeab0b5ac,3,0,0xE610000001147699CC3EB07E5EC05C7CE100C0B542400270813EB07E5EC0AAC9DFFFBFB54240
6a838899-09d5-41f2-9bdd-40feeab0b5ac,4,0,0xE61000000114A0187A40B07E5EC05C521808C0B54240C1AE0541B07E5EC0DF3FAB06C0B54240
6a838899-09d5-41f2-9bdd-40feeab0b5ac,5,3,0xE610000001148531B7B5A47E5EC0271FD4A8B4B5424047B3CB1AA97E5EC00612354DAFB54240
6a838899-09d5-41f2-9bdd-40feeab0b5ac,6,3,0xE6100000010409000000913AE8AFA37E5EC02F1CA59EC7B54240E486005CA07E5EC015EC1A88C0B54240E1B1440CA07E5EC0E7952519BDB5424057A51DCCA07E5EC00650A5C9B9B5424017AFE4F0AA7E5EC0A1D05735ADB542402934183CAF7E5EC07F6F9183ABB54240A348ADE6AF7E5EC06E3AD938A8B54240083509FF9E7E5EC0AA02BD8984B54240F0BFF816947E5EC0C3595BC26BB5424001000000010000000001000000FFFFFFFF0000000002
6a838899-09d5-41f2-9bdd-40feeab0b5ac,7,3,0xE61000000114D7270C0C917E5EC057D7781B61B54240FAB041D3907E5EC08ED520AB5FB54240
6a838899-09d5-41f2-9bdd-40feeab0b5ac,8,3,0xE61000000104060000000D85741D8F7E5EC06FB1474D60B54240D86D066E937E5EC0E0E6E0DB6CB54240A28E961C9A7E5EC03DCFE1527CB542409D47A4F1B47E5EC0C223BFB8B3B5424032B3E800B57E5EC073ABB56AB6B542407699CC3EB07E5EC05C7CE100C0B5424001000000010000000001000000FFFFFFFF0000000002
6a838899-09d5-41f2-9bdd-40feeab0b5ac,9,3,0xE610000001140270813EB07E5EC0AAC9DFFFBFB54240A0187A40B07E5EC05C521808C0B54240
6a838899-09d5-41f2-9bdd-40feeab0b5ac,10,6,0xE6100000011447B3CB1AA97E5EC00612354DAFB542403DDC27AAAB7E5EC0FB709881ADB54240
6a838899-09d5-41f2-9bdd-40feeab0b5ac,11,6,0xE6100000010403000000FAB041D3907E5EC08ED520AB5FB542400A9A5CAD8F7E5EC0D0A8AF9D5EB542400D85741D8F7E5EC06FB1474D60B5424001000000010000000001000000FFFFFFFF0000000002
