SurveyId,Order,Mode,Shape
BAAA0BF0-5D42-A94E-8311-39D4BED10910,0,0,0xE610000001147F836866F47E5EC06AF17B80C1B242400DF34A89F57E5EC062B75F64C1B24240
BAAA0BF0-5D42-A94E-8311-39D4BED10910,1,0,0xE61000000104190000004B8F957AB07E5EC02128BA68BFB5424060F9B544A87E5EC0E147257AC9B5424025CED42CA67E5EC0270D22E9C9B542400583DC32A47E5EC00D67D599C8B54240CFEB2D22A17E5EC02C3A19CCC2B5424003ED4156A07E5EC073229360C0B542406D4EB209A07E5EC0A09F3F89BCB542409FB82052A17E5EC0D68513CDB8B54240E5F9ACDDAB7E5EC0429547BDACB54240FC0BC01BAE7E5EC0BAEDD51FAEB54240013DBBC3B27E5EC08B371DC8B7B54240D12E8CF9B47E5EC0683105A1B7B5424081C455BCC27E5EC03A5628B8A6B542409A2FCA77C37E5EC0DF345602A3B542408F5F1611C37E5EC008FBEAE69BB5424016DA46D0C17E5EC0076682F499B54240AC1DCE99BC7E5EC068F05B6B97B54240AE981A9AB77E5EC00365492193B54240185063EFB27E5EC081C0A7DE8AB5424021D4D8ABB17E5EC050D1DDDD89B5424033BC2F50AE7E5EC0AAAE235C8CB54240470D3F63A87E5EC0BA192D1C95B542407F36FD07A77E5EC04CF5360C95B542408C4095A9997E5EC07DD790F878B5424029CF7928927E5EC06DC0275766B5424001000000010000000001000000FFFFFFFF0000000002
BAAA0BF0-5D42-A94E-8311-39D4BED10910,2,0,0xE610000001141F6ED32EB17E5EC0CE809676BEB542407F38A22EB17E5EC08367C779BEB54240
BAAA0BF0-5D42-A94E-8311-39D4BED10910,3,0,0xE61000000114A7187B2DB17E5EC02917647ABEB54240BE2E332DB17E5EC0B523377BBEB54240
BAAA0BF0-5D42-A94E-8311-39D4BED10910,4,0,0xE61000000114873C5855A57E5EC05306B0C6BDB5424070CBA755A57E5EC09A33F0C5BDB54240
BAAA0BF0-5D42-A94E-8311-39D4BED10910,5,0,0xE61000000114D3F79E55A57E5EC07193FEC5BDB54240C50C8B56A57E5EC06C9992C4BDB54240
BAAA0BF0-5D42-A94E-8311-39D4BED10910,6,2,0xE61000000104040000000DF34A89F57E5EC062B75F64C1B24240CAD81D44F57E5EC0A5C7D247D4B24240EEC4FE52F67E5EC081847D30D6B24240D90A831EF97E5EC0E145BDDED6B2424001000000010000000001000000FFFFFFFF0000000002
BAAA0BF0-5D42-A94E-8311-39D4BED10910,7,2,0xE610000001147F38A22EB17E5EC08367C779BEB5424009531D2EB17E5EC0CB5D8779BEB54240
BAAA0BF0-5D42-A94E-8311-39D4BED10910,8,1,0xE610000001041C000000D90A831EF97E5EC0E145BDDED6B24240CCE2C615057F5EC08897E2A7D6B24240BE09038C067F5EC0CF84A818D3B2424088306646087F5EC03E358CCBD1B2424097B89DA1097F5EC09BCE9727D3B24240C63917110A7F5EC08E27B5DDD7B242404659A7FA097F5EC08829017760B34240CFEC2B2E087F5EC033BA3F2770B34240CBAB06A3FF7E5EC0C98E255698B34240BB328369FE7E5EC0A28FF11DA2B34240478AB2F8FD7E5EC02B721701ACB34240B677F042FE7E5EC00D8CB44EFDB34240918E3243FF7E5EC0B2CC5AA907B44240BD09B33E057F5EC0805EF84624B442401EA9B5CF067F5EC03CA017A331B44240933B374B077F5EC042BB9C207DB44240812D17CF067F5EC06FBAFC4F8BB442400869A7E7057F5EC02F4F1ABB8DB44240250DC4A8047F5EC00D5812D18EB442409F97E1FCFD7E5EC09F787F7E8FB442407FE8EDCADF7E5EC0CA4CC81A8FB44240D9CC7F0ACC7E5EC0E48E3CC789B44240FA08E3E2C17E5EC0B7E645B688B44240F387F5F3967E5EC007C5447789B442406725CFFB927E5EC05B0FABCE8BB44240306B399D917E5EC0D41A1E0891B44240F5321B57917E5EC04AB279E797B4424067E23FBE8F7E5EC0A8095ABA21B5424001000000010000000001000000FFFFFFFF0000000002
BAAA0BF0-5D42-A94E-8311-39D4BED10910,9,1,0xE610000001040900000022BF6D598E7E5EC00C89B62D4AB5424082027B708E7E5EC0CF4F309157B54240E143CC028F7E5EC0AE0DD99B5DB54240E615E371907E5EC05219BEAC64B54240DF4A9A6B927E5EC02E0C05D66AB542409EE067CD997E5EC051912F117CB54240CB25EABEB47E5EC0FB190CBCB3B542406419E3A7B47E5EC07DA4B9FBB6B542404B8F957AB07E5EC02128BA68BFB5424001000000010000000001000000FFFFFFFF0000000002
