SurveyId,Order,Mode,Shape
baaa0bf0-5d42-a94e-8311-39d4bed10910,0,0,0xE6100000011453505966F47E5EC06756BE80C1B24240BBC84E89F57E5EC0C1D76364C1B24240
baaa0bf0-5d42-a94e-8311-39d4bed10910,1,0,0xE6100000010419000000A36B917AB07E5EC0E621B668BFB54240E8EAB744A87E5EC0B77B1C7AC9B54240BDECCF2CA67E5EC022B117E9C9B54240D372DA32A47E5EC040C5CC99C8B54240FED32E22A17E5EC00DF117CCC2B5424028804156A07E5EC032469860C0B542405BB6B509A07E5EC0B13D4889BCB5424078B21F52A17E5EC0789410CDB8B54240F068A9DDAB7E5EC0EF524DBDACB542400F74BC1BAE7E5EC0A1FBCD1FAEB542406F24B7C3B27E5EC0195D18C8B7B5424015EA86F9B47E5EC0011701A1B7B542401FAC52BCC27E5EC0CEA025B8A6B5424090EECE77C37E5EC0000E4E02A3B542409FFE1611C37E5EC08753E6E69BB54240857B44D0C17E5EC09F5288F499B54240A5C8CE99BC7E5EC03090566B97B54240756A159AB77E5EC026F4442193B5424072CB60EFB27E5EC09546ABDE8AB54240B459D4ABB17E5EC01FCDE4DD89B54240ADF63450AE7E5EC0715B195C8CB5424012C24063A87E5EC0FB63311C95B5424028AC0108A77E5EC0EF2B410C95B542406D8E94A9997E5EC05D488FF878B54240B5967628927E5EC0D2FA215766B5424001000000010000000001000000FFFFFFFF0000000002
baaa0bf0-5d42-a94e-8311-39d4bed10910,2,0,0xE6100000011413D8D62EB17E5EC01CC19D76BEB542402E28A12EB17E5EC051CCCD79BEB54240
baaa0bf0-5d42-a94e-8311-39d4bed10910,3,0,0xE61000000114253F7F2DB17E5EC0391F647ABEB54240B115342DB17E5EC0CEDE3A7BBEB54240
baaa0bf0-5d42-a94e-8311-39d4bed10910,4,0,0xE61000000114553B9A55A57E5EC03A3909C6BDB54240B1B77B56A57E5EC0BD269CC4BDB54240
baaa0bf0-5d42-a94e-8311-39d4bed10910,5,3,0xE6100000010421000000BBC84E89F57E5EC0C1D76364C1B24240F4ECA820F57E5EC02F15FAE4D1B24240440B1A44F57E5EC08DD7D547D4B2424046070353F67E5EC0B6C37830D6B242406AF981ABFC7E5EC0F19B0467D7B2424081E61835047F5EC086BA9BE9D6B24240A430D6D4057F5EC05D49B8B1D5B24240F0C7E526077F5EC0AC053044D2B2424076C86A46087F5EC012358FCBD1B2424099219FA1097F5EC0CA4D9A27D3B242405D301B110A7F5EC0B580B7DDD7B2424090ABAAFA097F5EC0D5AFF87660B34240288E2C2E087F5EC067E8442770B34240CE2403A3FF7E5EC06BA1225698B342400AAE8769FE7E5EC0BF8CF71DA2B342405706B4F8FD7E5EC078CA0F01ACB342404B41F142FE7E5EC0C644B54EFDB3424069E13643FF7E5EC0D82657A907B44240923BAE3E057F5EC0FFABF14624B4424041B0B2CF067F5EC0E13A10A331B442409D62384B077F5EC0CC1B92207DB44240595D1CCF067F5EC0A1C7FF4F8BB44240714AABE7057F5EC0B21214BB8DB442402DB3C6A8047F5EC05EAE13D18EB4424040C4E5FCFD7E5EC00A2B787E8FB4424016CCEBCADF7E5EC0F80FD01A8FB442402614850ACC7E5EC06C983EC789B442406DE5E3E2C17E5EC03D7A47B688B44240F4DEF7F3967E5EC084134D7789B442407070D0FB927E5EC06BC8AACE8BB44240335C369D917E5EC06293250891B442405F222057917E5EC03B527DE797B4424001C843BE8F7E5EC0AD714FBA21B5424001000000010000000001000000FFFFFFFF0000000002
baaa0bf0-5d42-a94e-8311-39d4bed10910,6,3,0xE6100000010409000000AED369598E7E5EC0B01BB62D4AB542402B687B708E7E5EC0AF73369157B542409085C7028F7E5EC01803D29B5DB54240C224E871907E5EC0CC62BDAC64B5424000329D6B927E5EC07CBC0CD66AB54240C04F66CD997E5EC0380333117CB54240B8BDEEBEB47E5EC086A804BCB3B5424003E6E7A7B47E5EC079A9BFFBB6B54240A36B917AB07E5EC0E621B668BFB5424001000000010000000001000000FFFFFFFF0000000002
baaa0bf0-5d42-a94e-8311-39d4bed10910,7,3,0xE610000001040D000000B5967628927E5EC0D2FA215766B542401EBC1BB0907E5EC0DBB33A7B5FB54240842FE97B8F7E5EC08801E0125FB542406688BE168F7E5EC0BDFAFC2060B542407E914C5E8F7E5EC0E6513B0D62B542404208C897907E5EC013B0C2D265B54240260BEB08987E5EC010FAE30778B54240A17AD6FBAE7E5EC07BBA80B8A7B5424044712255AF7E5EC080786530A9B542403057F5A8AE7E5EC000875816AFB542409F3DB8B7B27E5EC0DD99A65BB8B54240EF791752B27E5EC0D5E8B4F2BBB5424013D8D62EB17E5EC01CC19D76BEB5424001000000010000000001000000FFFFFFFF0000000002
baaa0bf0-5d42-a94e-8311-39d4bed10910,8,3,0xE610000001142E28A12EB17E5EC051CCCD79BEB54240253F7F2DB17E5EC0391F647ABEB54240
baaa0bf0-5d42-a94e-8311-39d4bed10910,9,3,0xE6100000010407000000B115342DB17E5EC0CEDE3A7BBEB54240C7B8E2E2A87E5EC08177D1DBC8B542403646800DA77E5EC07544D7E8C9B54240A975D146A47E5EC09FA33C90C8B54240156B3C01A27E5EC0B4F9A854C3B542403C3C5B72A27E5EC01A590948C1B54240A8CE5955A57E5EC0B105B5C6BDB5424001000000010000000001000000FFFFFFFF0000000002
baaa0bf0-5d42-a94e-8311-39d4bed10910,10,6,0xE6100000011401C843BE8F7E5EC0AD714FBA21B54240A8648C518F7E5EC0BED00AA92EB54240
