SurveyId,Order,Mode,Shape
88D32A3E-2567-46A9-866A-3F28F75B669B,0,0,0xE61000000114B6106C79DC8E5EC0A4AF7B86BBBD424071690F79DC8E5EC0E70E7085BBBD4240
88D32A3E-2567-46A9-866A-3F28F75B669B,1,0,0xE61000000114A31C6999E78E5EC094191BE0B4BD42409BF502F9F18E5EC075775933A3BD4240
88D32A3E-2567-46A9-866A-3F28F75B669B,2,0,0xE6100000010418000000A2DCC25AD78E5EC08DB59D7BD1BD4240395A5674F18E5EC038059B6AA3BD4240F40242C6F48E5EC06B4A702CA0BD424059837BEBF48E5EC0AF5A793F9EBD424088718656F38E5EC0D644D81D9EBD4240BD042CCDD98E5EC0B8C8F5C6CBBD424085CC739BD68E5EC069B9111CCFBD4240CA5E7282D68E5EC09D3511C0D0BD4240CDDDE84CD78E5EC07DD34273D1BD4240F9DDAB26D88E5EC0DDA7BDC2D0BD42406E47409EE08E5EC06F2EE616C1BD4240F251C2CBDF8E5EC0F8CD6265BDBD4240C6EE828ADA8E5EC01A0CF31EB5BD42401AF02AB5D98E5EC0E87CB8CAB4BD42403397F657DA8E5EC0CBFF973CB4BD42402395CEB6DA8E5EC082A35713B7BD42403AB5C42ADF8E5EC04ED429F5BDBD4240891D98BCDF8E5EC0750C015EC0BD4240AD42A7DEDE8E5EC07A95F90BC3BD4240FE0991E7D88E5EC05AF29F5CCDBD4240A8D399C2D88E5EC05E9E99E5CEBD424052D65D6BD98E5EC06B092BCECFBD4240B42A07D3D88E5EC01D378CE9CFBD4240DD1D0F06E38E5EC008216C63BDBD424001000000010000000001000000FFFFFFFF0000000002
88D32A3E-2567-46A9-866A-3F28F75B669B,3,1,0xE61000000104060000004EC4E557DE8E5EC0FF220AC2C3BD424010AF670CD98E5EC0E523810DCDBD4240ACC952D4D88E5EC055B3A067CEBD4240F4DE8756D98E5EC000169072CFBD424012EDEE91D88E5EC08DF00047CFBD4240DEACEE6AE18E5EC024BC15D4BFBD424001000000010000000001000000FFFFFFFF0000000002
88D32A3E-2567-46A9-866A-3F28F75B669B,4,1,0xE6100000010420000000AED099F3E18E5EC0167494BCBDBD42401214B318D98E5EC0535A0105CDBD424022905FBFD68E5EC01126F123CFBD42406D95A58CD68E5EC0D09ACBD0D0BD4240E08D5F4ED78E5EC0EE944E85D1BD4240543A1533D88E5EC0A69CF570D0BD4240C28044AAF08E5EC065FCA2B1A4BD42405AC10DFBF38E5EC0895A23EEA0BD424017C62736F48E5EC0BDCBC7709FBD4240BC1812D7F28E5EC043E9DD8A9EBD42406B3B37A3EA8E5EC0D60DE9FBADBD42405D75C07FE18E5EC0441F9817BDBD42405369D776DF8E5EC00614BFCCBCBD42407618D562D98E5EC0C6990DA0B4BD4240538FAA7ADA8E5EC0FA326032B4BD424033F4E533DA8E5EC0F2FAB9C2B5BD42401177E7DBDA8E5EC009193A81B7BD424096DB6F84DE8E5EC0E4692074BBBD424003E4A7A4DF8E5EC03A07FFBCC0BD4240AC7B884ED98E5EC0D7CDD9C1CCBD42404C2D32C5D68E5EC0A4DB0C4ACFBD42400C585DEBD68E5EC0F3FB145AD1BD4240E8788A38D88E5EC0FBDDAB68D0BD4240C8759E3EF18E5EC037C00705A4BD4240A27681C4F48E5EC0D3E329EAA0BD4240E51483E4F48E5EC094CF202C9FBD4240C0076C10F48E5EC00AF83E609EBD42403DD5A73DF38E5EC0018BFEED9EBD424006B46BF1D88E5EC053988292CDBD424069775082D68E5EC03097D23ACFBD424025F4BF60D68E5EC0EA35A9C3D0BD4240A2DCC25AD78E5EC08DB59D7BD1BD424001000000010000000001000000FFFFFFFF0000000002
88D32A3E-2567-46A9-866A-3F28F75B669B,5,3,0xE6100000011471690F79DC8E5EC0E70E7085BBBD4240E94FEF78DC8E5EC07C156386BBBD4240
88D32A3E-2567-46A9-866A-3F28F75B669B,6,3,0xE610000001040400000002B60D79DC8E5EC03B826B86BBBD4240E4A9DD7CDF8E5EC02047D867BFBD424068BBA483DF8E5EC09701B64AC1BD42404EC4E557DE8E5EC0FF220AC2C3BD424001000000010000000001000000FFFFFFFF0000000002
88D32A3E-2567-46A9-866A-3F28F75B669B,7,3,0xE61000000104060000009BF502F9F18E5EC075775933A3BD424081A67B3FF48E5EC038042894A0BD42401EBB0742F48E5EC0F55DA4989EBD42404878A0D2F28E5EC034FE828D9EBD4240D54E9397F18E5EC0175C0AF3A1BD4240AED099F3E18E5EC0167494BCBDBD424001000000010000000001000000FFFFFFFF0000000002
88D32A3E-2567-46A9-866A-3F28F75B669B,8,4,0xE6100000011418847C7ADC8E5EC0E14BF884BBBD4240B6106C79DC8E5EC0A4AF7B86BBBD4240
88D32A3E-2567-46A9-866A-3F28F75B669B,9,4,0xE61000000114DEACEE6AE18E5EC024BC15D4BFBD4240A31C6999E78E5EC094191BE0B4BD4240
