SurveyId,Order,Mode,Shape
c8782024-cc65-b53a-5317-39d4b4f4731f,0,0,0xE610000001142AF32423067F5EC08EAD46FA5DB44240CAD3E221067F5EC0D61F1FFC5DB44240
c8782024-cc65-b53a-5317-39d4b4f4731f,1,0,0xE610000001041B0000004A3736F9B57E5EC037E9F0EFB7B542400EF5BBB0B57E5EC08BA86830B6B542409A94826EAF7E5EC09143A3BFC0B5424036A6ED80A77E5EC0F2AAD6DBC9B54240ED9C2465A47E5EC09F1AB315C9B54240C96B2DE59F7E5EC0B69D1971BFB54240139CB824A07E5EC0E1AD77A8BBB542404EA2567FA17E5EC025926C9EB8B542408D2462C6AB7E5EC060CD5C3BACB54240EEB7B04DAE7E5EC0BF3AF9BAADB542406344A2D0B27E5EC0FC5D1246B7B54240B6E0A018B47E5EC03188DDB1B7B5424065686590B57E5EC0AEED2FB3B6B54240C95AE07EC27E5EC01C659A3CA7B542402E840793C37E5EC0F430D548A2B5424063249C92C37E5EC05C7EB7AB9DB54240788D6513C37E5EC039A67A749BB5424001A1370DB87E5EC0618E9A8693B54240AF81E7BDB57E5EC0F22A297F90B542408165DFF4B27E5EC0FBA765B58AB542404342CEDAB17E5EC031755FE789B54240910F170CB07E5EC078F3126B8AB54240C92CEF68AB7E5EC010B20B8A8FB542405370FC79A87E5EC0E34F754495B542401CC8A3E9A67E5EC0CC9EC21995B542401035973C9A7E5EC062EF6A5E7AB5424040D6D7E3937E5EC0761BD47E6BB5424001000000010000000001000000FFFFFFFF0000000002
c8782024-cc65-b53a-5317-39d4b4f4731f,2,0,0xE610000001144DFE1F0EAF7E5EC05027B06BC1B542404A5BBF0DAF7E5EC0B58CB36DC1B54240
c8782024-cc65-b53a-5317-39d4b4f4731f,3,0,0xE61000000114A97A010FAF7E5EC0A96BCC6FC1B542402930CF10AF7E5EC06DF01173C1B54240
c8782024-cc65-b53a-5317-39d4b4f4731f,4,0,0xE61000000114F821252CA07E5EC00B442EBCBBB542406705AF2BA07E5EC0B8B06EBCBBB54240
c8782024-cc65-b53a-5317-39d4b4f4731f,5,3,0xE610000001040E000000CAD3E221067F5EC0D61F1FFC5DB442406591C3B3067F5EC047B8C1376AB44240F44BABBE067F5EC0B4A6602A89B442409B620611067F5EC00B4B553D8DB4424046B315A8037F5EC033F389E18FB442406D4E0C66DF7E5EC0BC54F00490B44240332DDAB1CB7E5EC08F673CB68AB44240D89155D7C27E5EC00DF757B089B442408507EEBCA47E5EC0EFD963B789B442406677F5E8957E5EC0FB3881868AB4424058731D36937E5EC0D6A181F58BB44240FAB537F0917E5EC052AB1A4A8EB44240EB9CB00E917E5EC055E5D6FF94B44240394C0BC98F7E5EC03C94579D0BB5424001000000010000000001000000FFFFFFFF0000000002
c8782024-cc65-b53a-5317-39d4b4f4731f,6,3,0xE6100000010406000000C92A19BE8D7E5EC08023053F3FB54240314B33C48E7E5EC0616E5A9D5AB542406B5E5992917E5EC08960DA3F68B54240B6A5278F9B7E5EC0482DBDCB7FB54240486469F1B37E5EC0BDEE63BBB1B542404A3736F9B57E5EC037E9F0EFB7B5424001000000010000000001000000FFFFFFFF0000000002
c8782024-cc65-b53a-5317-39d4b4f4731f,7,3,0xE610000001040B00000040D6D7E3937E5EC0761BD47E6BB54240838CBAB5907E5EC0C9E53FA45FB54240A51D50998F7E5EC0F354C9F85EB54240434FD2158F7E5EC064062AE35FB542409C15932F8F7E5EC0F2B6904F61B542402D61C845907E5EC049626AC764B54240FCFE6A61987E5EC0F832D5BC78B542400F392AF5B47E5EC0B0AD9FFEB3B54240C1E7E2CAB47E5EC01FEFD963B7B542404D85BA40B07E5EC0D5132BDDBCB542404DFE1F0EAF7E5EC05027B06BC1B5424001000000010000000001000000FFFFFFFF0000000002
c8782024-cc65-b53a-5317-39d4b4f4731f,8,3,0xE610000001144A5BBF0DAF7E5EC0B58CB36DC1B54240A97A010FAF7E5EC0A96BCC6FC1B54240
c8782024-cc65-b53a-5317-39d4b4f4731f,9,3,0xE61000000104060000002930CF10AF7E5EC06DF01173C1B542401D53B981A97E5EC088180A33C8B542404FA9D8B9A57E5EC069268C24C9B54240B8342328A37E5EC03BE4038EC6B54240AE4A22FBA07E5EC08B4B3C3DC2B54240F57EC42BA07E5EC00B442EBCBBB5424001000000010000000001000000FFFFFFFF0000000002
c8782024-cc65-b53a-5317-39d4b4f4731f,10,6,0xE61000000114394C0BC98F7E5EC03C94579D0BB54240045737E68E7E5EC0FE26563E32B54240
