SurveyId,Order,Mode,Shape
C8782024-CC65-B53A-5317-39D4B4F4731F,0,0,0xE610000001140B942123067F5EC09B0D4FFA5DB442404A35E521067F5EC083EC1AFC5DB44240
C8782024-CC65-B53A-5317-39D4B4F4731F,1,0,0xE610000001041B000000894C32F9B57E5EC00D5DF9EFB7B54240DDAEBAB0B57E5EC09B3E6230B6B54240CE7E856EAF7E5EC0268CA7BFC0B54240BE10EE80A77E5EC0E54BD5DBC9B542407DC02865A47E5EC04C62BC15C9B542409AFC2CE59F7E5EC06E101A71BFB542409AC0B924A07E5EC0F23F7EA8BBB54240FC4B597FA17E5EC0FEEA6A9EB8B54240C1B661C6AB7E5EC0C7435F3BACB54240464DAD4DAE7E5EC0CE4BFEBAADB542406D849DD0B27E5EC055B50A46B7B54240BAA7A318B47E5EC03B30DDB1B7B542400C1B6190B57E5EC0491536B3B6B54240E7DEDD7EC27E5EC0BBD8973CA7B542408A9A0893C37E5EC09C5EDE48A2B54240A2889D92C37E5EC0C203B4AB9DB542401FE06613C37E5EC0F09581749BB54240A7823B0DB87E5EC0EB65968693B542407EDFE7BDB57E5EC000782A7F90B542402D23E3F4B27E5EC0F7ED5FB58AB54240CBD2C9DAB17E5EC0710A56E789B54240105B170CB07E5EC07F69196B8AB54240029EF068AB7E5EC006FE098A8FB54240C6CDF779A87E5EC0B5C17C4495B542401305A8E9A67E5EC0338DC71995B542402B93933C9A7E5EC04741685E7AB542403BEADAE3937E5EC0EEB1DB7E6BB5424001000000010000000001000000FFFFFFFF0000000002
C8782024-CC65-B53A-5317-39D4B4F4731F,2,0,0xE6100000011442981D0EAF7E5EC085A2B56BC1B54240903ABF0DAF7E5EC0611EAC6DC1B54240
C8782024-CC65-B53A-5317-39D4B4F4731F,3,0,0xE610000001145C52060FAF7E5EC0E37EC76FC1B54240AB93D110AF7E5EC0CF711473C1B54240
C8782024-CC65-B53A-5317-39D4B4F4731F,4,0,0xE610000001140B70272CA07E5EC031072ABCBBB54240A14AA12BA07E5EC0132451BCBBB54240
C8782024-CC65-B53A-5317-39D4B4F4731F,5,2,0xE610000001144A35E521067F5EC083EC1AFC5DB44240293DB422067F5EC0BE9BBFFD5DB44240
C8782024-CC65-B53A-5317-39D4B4F4731F,6,2,0xE61000000114903ABF0DAF7E5EC0611EAC6DC1B5424026EF250EAF7E5EC063A58D6EC1B54240
C8782024-CC65-B53A-5317-39D4B4F4731F,7,1,0xE610000001040E000000293DB422067F5EC0BE9BBFFD5DB44240B45DBFB3067F5EC05C2FB8376AB4424062EDA6BE067F5EC06884572A89B44240EDB80811067F5EC04C344D3D8DB44240A4B410A8037F5EC0A87A94E18FB4424077230F66DF7E5EC09F70F00490B44240F15BDFB1CB7E5EC08F5A3FB68AB44240606057D7C27E5EC0CD6D58B089B442400AEEEABCA47E5EC08D6168B789B44240616EF4E8957E5EC079F28B868AB44240B7BC2236937E5EC0D90E8CF58BB44240FC5B32F0917E5EC0782F224A8EB44240511DB20E917E5EC05CE8DCFF94B44240668910C98F7E5EC0A448579D0BB5424001000000010000000001000000FFFFFFFF0000000002
C8782024-CC65-B53A-5317-39D4B4F4731F,8,1,0xE610000001040600000016C91CBE8D7E5EC073560A3F3FB54240A4DF36C48E7E5EC09A65609D5AB5424094B45E92917E5EC05611D03F68B54240E6EE2B8F9B7E5EC0F7B9BCCB7FB54240972368F1B37E5EC0A4986DBBB1B54240894C32F9B57E5EC00D5DF9EFB7B5424001000000010000000001000000FFFFFFFF0000000002
C8782024-CC65-B53A-5317-39D4B4F4731F,9,1,0xE6100000010405000000CAFBDC6D957E5EC006C418E271B54240A1302AF5B47E5EC0333DA9FEB3B5424054E1DDCAB47E5EC07FABD663B7B542403D21B940B07E5EC0F2D224DDBCB5424042981D0EAF7E5EC085A2B56BC1B5424001000000010000000001000000FFFFFFFF0000000002
C8782024-CC65-B53A-5317-39D4B4F4731F,10,1,0xE6100000011426EF250EAF7E5EC063A58D6EC1B542402AA5FD0EAF7E5EC0794C7171C1B54240
C8782024-CC65-B53A-5317-39D4B4F4731F,11,1,0xE61000000104050000003B616220AC7E5EC0559EB501C5B542404C08003FA87E5EC0D1A6E526C9B54240D2FBF5C0A47E5EC0CCCBFA86C8B542405E001DFBA07E5EC000203D3DC2B54240F271BA65A07E5EC06EEA3F7DBDB5424001000000010000000001000000FFFFFFFF0000000002
C8782024-CC65-B53A-5317-39D4B4F4731F,12,3,0xE61000000104060000003BEADAE3937E5EC0EEB1DB7E6BB54240E702BDB5907E5EC0D54037A45FB54240BCCB50998F7E5EC071E8C0F85EB54240A897D5158F7E5EC05E9B29E35FB542403B208AA28F7E5EC0A6E8B5D862B54240CAFBDC6D957E5EC006C418E271B5424001000000010000000001000000FFFFFFFF0000000002
C8782024-CC65-B53A-5317-39D4B4F4731F,13,3,0xE61000000114AB93D110AF7E5EC0CF711473C1B542403B616220AC7E5EC0559EB501C5B54240
C8782024-CC65-B53A-5317-39D4B4F4731F,14,4,0xE610000001142AA5FD0EAF7E5EC0794C7171C1B542405C52060FAF7E5EC0E37EC76FC1B54240
C8782024-CC65-B53A-5317-39D4B4F4731F,15,4,0xE61000000114F271BA65A07E5EC06EEA3F7DBDB54240CBAEC72BA07E5EC0814331BCBBB54240
