SurveyId,Order,Mode,Shape
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,0,0,0xE610000001040B000000D1B85949F47E5EC0213A8D42C2B24240031FDC95F57E5EC0C52C05D2C1B24240BA6F8412F57E5EC035FA474ED3B242405286063FF67E5EC006EE2329D6B2424094AF7B60047F5EC0C9400CD5D6B242406696F777057F5EC094DDF313D6B24240336D3554077F5EC0F61DE7EFD1B24240225DD1BF087F5EC0DA0C0CDDD1B2424037CC3DA6097F5EC01A57D33DD3B242403860150F0A7F5EC0F9C18919DBB242405AB7C31C0A7F5EC0240D676813B3424001000000010000000001000000FFFFFFFF0000000002
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,1,0,0xE6100000010413000000174F19E2FD7E5EC0101D9F72B9B342406CF19832FE7E5EC016CA4FCFFEB342406C8A6C84FF7E5EC06EF2D1180AB4424026AAF359057F5EC00097C75A28B4424022C85881067F5EC0A3ED0D0834B44240602618E5067F5EC01B0BF16388B44240BD042550067F5EC04A7C717C8DB44240F34F8CD9047F5EC02B27CA998FB44240C4463D85027F5EC05C740D6190B442401D4C9E97E47E5EC0375E0D3390B44240ADDD5AD6DC7E5EC02D004B758FB44240E437D666CC7E5EC05A19A4E38AB44240D8CDF164C27E5EC03053A89D89B44240DC9B9240A67E5EC05DE500A089B4424010F01EBC957E5EC0DA65109C8AB44240CC0A7B19937E5EC0406F27158CB44240102101B5917E5EC0BE72E4108FB442407123932A917E5EC0D8F9837894B44240A4BB73248F7E5EC091C6590223B5424001000000010000000001000000FFFFFFFF0000000002
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,2,0,0xE610000001041F000000A6FE98C98E7E5EC018A4C18440B542405FCD9F7D8E7E5EC0272F2BA258B54240F8F60E738F7E5EC097EBE0D25FB54240FC824995917E5EC0B354F22E68B54240D638491B9A7E5EC0029A4A9E7CB542406FCAA9F7B47E5EC0F88BCB54B4B5424053D34A9CB47E5EC01A36DC30B7B54240F552E96BB07E5EC0D3F79C49BFB5424093D3B3BAAA7E5EC0CB41B44FC6B5424018E61740A67E5EC0C8192F02CAB542409E3507D5A47E5EC07F854C9DC9B54240027E2764A37E5EC007E1517CC7B5424062D91A24A07E5EC0DE07EE5FC0B54240A186A548A07E5EC0EB494D4DBBB542402CE13EE9A17E5EC015AD12F0B7B54240A4F01817AA7E5EC06A4C86EAADB54240A6D77300AC7E5EC08A2CABE7ACB54240A31BADD7AD7E5EC0AE9D15A7ADB542401DBC2A41B27E5EC060D76CACB6B54240E3EE9015B47E5EC0265882A4B7B54240F9F8631DB77E5EC08EFA03E6B4B54240D7581F31C37E5EC0CFACCEE1A5B54240EF131D7FC37E5EC019C1D95B9EB54240320C5DBCC27E5EC0D1C826299BB54240F4804548B87E5EC01299E4DA93B54240921CD0F6B17E5EC05B47B9468AB54240CAFFF2ECAF7E5EC0DCA118B58AB542404481231EAB7E5EC050F276C68FB5424030F45382A87E5EC05A78432295B54240AD465DE0A67E5EC08DF1B1F294B54240315A4C8B957E5EC07E1BF4356FB5424001000000010000000001000000FFFFFFFF0000000002
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,3,0,0xE61000000114AD90A780B77E5EC043129DBFB5B542404E21887BB77E5EC09718CBB5B5B54240
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,4,0,0xE61000000114B891C577B77E5EC0BAE7EBC3B5B54240561BEA77B77E5EC04A2E5DC7B5B54240
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,5,0,0xE61000000114A4C5C437B57E5EC04C5001B8B8B5424038954536B57E5EC0769DE1BBB8B54240
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,6,2,0xE61000000104040000005AB7C31C0A7F5EC0240D676813B34240BF2B68F7097F5EC0DFCCC18B61B3424054BFF267097F5EC0898432E369B3424078EE12C0077F5EC08FECFD2B73B3424001000000010000000001000000FFFFFFFF0000000002
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,7,1,0xE6100000011478EE12C0077F5EC08FECFD2B73B34240E19F1F32017F5EC00BF69A5A8FB34240
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,8,1,0xE610000001040B00000005AEF093AC7E5EC0F8097449C4B5424085B3929FA77E5EC004AF356FC9B542407567C684A57E5EC00F9D7D74C9B542408D7517CAA07E5EC038EFD202C1B54240ED92C50CA07E5EC0CD001E9EBDB5424047105F3CA07E5EC01904A5BFBAB542404B6E2A9FA97E5EC0D1131D5EAEB5424026F75574AF7E5EC023B93009ABB5424053B568D5B07E5EC0BD0AF496ABB5424030A0AF58B47E5EC01902016FB2B54240AD90A780B77E5EC043129DBFB5B5424001000000010000000001000000FFFFFFFF0000000002
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,9,1,0xE61000000114D9C69F7BB77E5EC0904BD5B5B5B54240B891C577B77E5EC0BAE7EBC3B5B54240
