SurveyId,Order,Mode,Shape
8497a375-2d3a-94e7-7ad4-39d4b9762ab7,0,0,0xE610000001040B000000FDC15D49F47E5EC0B4358542C2B24240AC45D995F57E5EC03E7407D2C1B24240686A8612F57E5EC01734464ED3B24240A947013FF67E5EC027742C29D6B2424010647760047F5EC0C8640ED5D6B24240C88BF977057F5EC0F251F313D6B2424056313254077F5EC0BECFE1EFD1B2424016DFCCBF087F5EC029F901DDD1B242404B3F3CA6097F5EC0B222D53DD3B24240F8CA170F0A7F5EC06C308119DBB24240F230C41C0A7F5EC0739D676813B3424001000000010000000001000000FFFFFFFF0000000002
8497a375-2d3a-94e7-7ad4-39d4b9762ab7,1,0,0xE61000000104130000006C8E18E2FD7E5EC03CE8A772B9B3424075A99532FE7E5EC0D76453CFFEB34240DD906F84FF7E5EC0EF22C8180AB44240F78DF159057F5EC0EB0FBD5A28B44240F4305981067F5EC033DC040834B4424094C516E5067F5EC02530E76388B442401B332650067F5EC0C45E6A7C8DB442403C518ED9047F5EC0FEF6D0998FB4424034714085027F5EC092B30B6190B4424026BA9997E47E5EC0B67D133390B442403C3F5AD6DC7E5EC0346953758FB44240E222D666CC7E5EC0834A9EE38AB4424052A1F464C27E5EC09613A39D89B44240AE3F9140A67E5EC0375FFC9F89B44240932A1FBC957E5EC06C41109C8AB442403ECB7719937E5EC041A521158CB44240EE79FEB4917E5EC01C08EA108FB4424000FF942A917E5EC00DFC877894B4424028AB75248F7E5EC08F87630223B5424001000000010000000001000000FFFFFFFF0000000002
8497a375-2d3a-94e7-7ad4-39d4b9762ab7,2,0,0xE610000001041F000000B16B9CC98E7E5EC0C1EDBF8440B5424004389C7D8E7E5EC0DF912DA258B5424022970F738F7E5EC01CE8E3D25FB54240F4FC4895917E5EC0CB75E82E68B542407CB2491B9A7E5EC002B04B9E7CB54240CD77AEF7B47E5EC0E555C654B4B5424035A2499CB47E5EC0C63BD930B7B54240BE0FEE6BB07E5EC0D4F79649BFB5424088F0B3BAAA7E5EC08916B04FC6B542401C231B40A67E5EC004AB2C02CAB542407C0B0CD5A47E5EC09370429DC9B5424092732864A37E5EC0E7E6557CC7B54240648C1724A07E5EC0BB79EC5FC0B54240BD93AA48A07E5EC02F88484DBBB54240759D3EE9A17E5EC054DC1BF0B7B5424062451517AA7E5EC0367689EAADB54240C9BA6E00AC7E5EC0CB1DAAE7ACB54240A19FA9D7AD7E5EC078B117A7ADB54240318F2541B27E5EC0797764ACB6B54240D60B9115B47E5EC0720887A4B7B542404912631DB77E5EC00947FBE5B4B54240D5612231C37E5EC0C36BD1E1A5B542401F3E1B7FC37E5EC073A6E05B9EB54240E7685DBCC27E5EC0043F26299BB54240EFE94548B87E5EC04FC4E8DA93B54240AEDAD2F6B17E5EC0CB58C0468AB54240D0C6DF30B07E5EC03003DF7E8AB54240F68B864AAB7E5EC0225A86938FB54240C817A364A87E5EC07E7FD63E95B54240EFCF5EE0A67E5EC0B458ABF294B54240BCCF4C8B957E5EC0A3CDED356FB5424001000000010000000001000000FFFFFFFF0000000002
8497a375-2d3a-94e7-7ad4-39d4b9762ab7,3,0,0xE61000000114588AAA80B77E5EC0D90095BFB5B542404C938C7BB77E5EC08B72C4B5B5B54240
8497a375-2d3a-94e7-7ad4-39d4b9762ab7,4,0,0xE610000001142E35C677B77E5EC0DFB1F1C3B5B54240846BE677B77E5EC0C12962C7B5B54240
8497a375-2d3a-94e7-7ad4-39d4b9762ab7,5,0,0xE61000000114383EC537B57E5EC0606502B8B8B542402CB24236B57E5EC00D3DDEBBB8B54240
8497a375-2d3a-94e7-7ad4-39d4b9762ab7,6,3,0xE6100000010405000000F230C41C0A7F5EC0739D676813B34240070972CC097F5EC01FBAA0BE65B342409F53F3C9087F5EC03F35E2F26DB342406E6A2432017F5EC028F0905A8FB34240C87A8B03FF7E5EC0803452A59CB3424001000000010000000001000000FFFFFFFF0000000002
8497a375-2d3a-94e7-7ad4-39d4b9762ab7,7,3,0xE6100000010412000000BCCF4C8B957E5EC0A3CDED356FB5424047AC07C4927E5EC01804B93868B542401E362E6F907E5EC0BE6F19C35EB54240DDE9CE138F7E5EC04CDE00335FB54240D0F9000F927E5EC0A62E326469B54240143A54F8987E5EC08C6686097AB54240B23EED09B57E5EC0D3D3CB18B4B54240263A26E6B47E5EC020097FAFB6B5424067D9CD6BB07E5EC0F7885E67BFB54240B6B3969FA77E5EC028C1346FC9B54240C9D3C984A57E5EC051AB7D74C9B5424060749A81A17E5EC0C0B29088C2B542403A8BC50CA07E5EC08D331B9EBDB5424054157DB2A07E5EC0FA543E99B9B542400B585978AA7E5EC0FB1C0690ADB5424094C9801EB07E5EC0A372D909ABB5424059EAAC58B47E5EC0B78EFD6EB2B54240588AAA80B77E5EC0D90095BFB5B5424001000000010000000001000000FFFFFFFF0000000002
8497a375-2d3a-94e7-7ad4-39d4b9762ab7,8,3,0xE610000001144C938C7BB77E5EC08B72C4B5B5B542402E35C677B77E5EC0DFB1F1C3B5B54240
8497a375-2d3a-94e7-7ad4-39d4b9762ab7,9,3,0xE610000001041A000000846BE677B77E5EC0C12962C7B5B54240F9F3F1F9B67E5EC03940B47FB3B54240C3714B71B67E5EC033BACD65B4B5424047191648B57E5EC009FDE992B3B54240CB138402A17E5EC0317069CA88B542406762DB1E947E5EC0FE8083CD6BB5424071E888D7907E5EC064AA059B5FB54240287AC7C68F7E5EC0D0FC418F5EB54240994869368F7E5EC05E45A9315FB5424063FC66288F7E5EC0998C199760B5424002AB3473927E5EC0117451806AB54240BEFBA1A1987E5EC003F9446479B54240290B990AB57E5EC03FEA2B1FB4B54240D39ED48FB47E5EC08AB5F0A3B7B542402FDBF3A1B07E5EC0F8560318BFB54240069135B8A77E5EC03A52A666C9B54240DE75D3B9A47E5EC08DA8DC86C9B54240E9FE1CACA07E5EC0DE6785B7C1B54240E78821DE9F7E5EC0BD225399BDB54240341F843EA07E5EC0EEAB7A12BBB54240C88FBE6AA17E5EC0BF563295B8B54240F1A67413A97E5EC088AF7E85AFB54240AFB9DDAAAF7E5EC002921B0BABB542405E51C6CFB17E5EC025F72AE8ACB54240BEFF6694B47E5EC004BE0DF7B2B54240383EC537B57E5EC0606502B8B8B5424001000000010000000001000000FFFFFFFF0000000002
