SurveyId,SurveyTag,SurveyFileSuffix
89FBDF0E-1FED-60A4-BAF4-39DA19B9D7F2,8hoursurvey01,8HourSurvey-1$
971B7CDB-5922-4206-BD1E-BA8D676E5C94,8hoursurvey02,8HourSurvey-2$
730B045D-77EA-446D-8D62-133C1B0F5658,8hoursurvey03,8HourSurvey-3$
C06A39D5-DCC5-4316-8F5A-C2D9B1998C19,8hoursurvey04,8HourSurvey-4$
2D7B37FC-6B24-4337-AC51-ED367D66C726,8hoursurvey05,8HourSurvey-5$
32C59E01-CE2E-4AFF-B045-F4E0B88422F1,8hoursurvey06,8HourSurvey-6$
0DFA0880-AD3F-4288-8D3E-6C9606C768AB,8hoursurvey07,8HourSurvey-7$
DA53A52B-0402-42D7-929B-7A9AA33ED315,8hoursurvey08,8HourSurvey-8$
6617E025-3507-4F81-8828-FC87942976FC,8hoursurvey09,8HourSurvey-9$
FC5CE42C-9FCD-48C0-A80A-80FBB1BDCFBE,8hoursurvey10,8HourSurvey-10$
2E10CAE9-CB00-4CA6-8B0C-EC98EA07C01E,8hoursurvey11,8HourSurvey-11$
5EF3207C-4DAC-49FD-BD58-9F820CF1EFA5,8hoursurvey12,8HourSurvey-12$
028F8FB7-8BA3-A44B-F778-39D626CD322B,assessment,assessment-1$
8AF3B409-FAD3-9B1C-1846-39D6D20F64C6,assessment,assessment-2$
4CE925C5-A081-319D-220A-39D83A6B8751,Ethane1MinSurvey,Ethane1MinSurvey$
31683DB5-3592-E0AC-3B49-39DA65CE0811,EthaneManual,EthaneManual$
946338AA-A24E-0E92-1DC3-39D76BD9F54D,EthaneOpertor1,EthaneOpertor1$
094EA028-139C-DC47-29F9-39D76BCB2F3C,EthaneOpertor2,EthaneOpertor2$
E0802F97-591D-4806-D48E-39D76BB73231,EthaneRR,EthaneRR$
068F0961-32BC-D508-5DAB-39D76B9AB1EA,EthaneStnd,EthaneStnd$
F0052077-F662-1C01-5654-39D76B475E9C,EthaneStnd2,EthaneStnd2$
7D502F69-0921-C3E8-22ED-39D76B1CAB8E,EthaneStnd3,EthaneStnd3$
140AF3CF-85BC-5EC2-266C-39D9A10A5096,GreaterThan4Hour,GreaterThan4Hour-1$
18533532-4401-1F22-0EFD-39D60E1D0E2B,iso cap,iso-cap-1$
069DB64B-55D5-7522-48E4-39D61C888093,iso cap,iso-cap-2$
6DBE3619-A2BE-B815-4BCF-39DA1F19D724,LessThan4Hour,LessThan4Hour-1$
4D7BF7AC-6CC2-9B18-1894-39D4B546927B,man-pic,man-pic-1$
2278D26F-8D69-B070-56FD-39D4B552F8F2,man-pic,man-pic-2$
B1354DDD-DCF3-0550-B153-39D9FE6F86FB,No fov 1,NoFOV-1$
50BEC7EF-AD37-8AD0-D604-39D9FE70AEBF,No fov 2,NoFOV-2$
DC17FED5-F182-FFAA-F02B-39D9FE713CB5,No fov 3,NoFOV-3$
1556AC85-A125-0347-2A02-39D4B529C6BD,op-pic,op-pic$
D55FA29B-E69E-0F61-D00E-39D4BEEB76E5,op-sqacudr,op-sqacudr$
04B2FEDA-EE18-A49E-3208-39D4B50F48FE,rr-pic,rr-pic$
E15E6D60-F49B-0F45-C9FA-39D4B99D9FDC,rr-sqacudr,rr-sqacudr-1$
BAAA0BF0-5D42-A94E-8311-39D4BED10910,rr-sqacudr,rr-sqacudr-2$
861905EE-400E-7FC8-558F-39D9FE5E5484,Standard With Leak,StandardWithLeak$
FA698FCA-CF41-0098-BD89-39D76B1412FA,standard-test-1,standard_test-1$
B71A994A-7739-9239-3C7C-39D76B14D67D,standard-test-2,standard_test-2$
C21B3872-23AF-DCE6-83C7-39D76B467FF1,standard-test-3,standard_test-3$
C8782024-CC65-B53A-5317-39D4B4F4731F,stnd-pic,stnd-pic$
271D9DB6-C0BD-EB32-2B48-39D1531DC264,stnd-sqacudr,stnd-sqacudr$
43A218A4-00AE-F7BC-588A-39D15301044F,stnd-sqacudr,stnd-sqacudr-1$
02510F74-5EE7-CD23-5C54-39D153175095,stnd-sqacudr,stnd-sqacudr-2$
8497A375-2D3A-94E7-7AD4-39D4B9762AB7,stnd-sqacudr,stnd-sqacudr-3$
DA2C4869-58DD-70FE-3B6A-39DD2C131AAA,daysurvey3.2,daysurvey3.2-1$
A0EE2DB5-1B37-B1B0-554C-39DD2C1D41B5,daysurvey3.2,daysurvey3.2-2$
F5D5BF4C-A286-BB4E-9C08-39DD2C310655,daysurvey4,daysurvey4-1$
A498837C-1CA9-A783-9B7B-39DD2C3B429E,daysurvey5,daysurvey5-1$
541567D0-A899-3418-8CE2-39DD2C61C355,daysurvey7,daysurvey7-1$
D18273A3-B2B7-D015-CE7A-39DD2C75F210,daysurvey8,daysurvey8-1$
BD897776-CFA5-80DF-2BD8-39DD2CB49FBC,daysurvey8,daysurvey8-2$
22E12807-5514-DA0F-CC66-39DD2CB51E96,daysurvey8.2,daysurvey8.2-1$
2B690480-BC87-8C19-4B32-39DBF7ED8628,IsoCapRedTrace,IsoCapRedTrace-1$
ACC61F00-87F7-31F0-8906-39DE52BC5EC5,AnalyticsTagA,AnalyticsTagA-1$
54918A61-B5EC-010B-FEA2-39DE5363FBD1,AnalyticsTagB,AnalyticsTagB-1$
B1B4E0DA-60F7-4014-3A0C-39DE5127305D,AnalyticsTagC,AnalyticsTagC-1$
6EB9CFE5-CEEB-49CC-891D-1D4866B6A8F4,MeqNoPeaks01,MeqNoPeaks-1$
1D6773DE-8977-4685-8E4E-F8FAF301B22B,FeqNoPeaks01,FeqNoPeaks-1$
A916F772-702A-4618-90FF-DA8E1AAE5542,MeqWithPeaks01,MeqWithPeaks-1$
34948DB0-831F-4186-943E-359DBD1F87F2,FeqWithPeaks01,FeqWithPeaks-1$
B2FA11F7-D62C-7331-1D16-39DB88775916,MenloNight11_17EQ01,menlo-night-11-17-EQ-1$
2329A3D7-5C3B-3B93-4B5E-39DB887753E5,MenloNight11_17EQ02,menlo-night-11-17-EQ-2$
5DFBB5AC-7369-A64A-B2EC-39DB8D49813E,StandardSurveyEQ01,standard-survey-for-EQ-Rpt-1$
7038048C-D1BC-4021-029F-39DB8D52B49C,StandardSurveyEQ02,standard-survey-for-EQ-Rpt-2$
9C0F6E78-973A-4B31-B626-CE0D38359D3B,FeqWithPeaks02,FeqWithPeaks02-1$
ABC74DFD-091F-17B0-ACD7-39E1F7914D5E,LISANotIntersectingAssets,LISANotIntersectingAssets-1$
